algorithm,case,csv_path,frames,duration_s,false_alarm,alarm_wheels
quant_0818,CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,246400,2463.99,False,
quant_0818,CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,522500,5224.99,False,
quant_0818,CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,121300,1212.99,False,
quant_0818,CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,277600,2775.99,False,
quant_0818,CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,145800,1457.99,False,
quant_0818,CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,181200,1811.99,False,
quant_0818,CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,164000,1639.99,False,
quant_0818,CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,198300,1982.99,False,
quant_0818,CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,412200,4121.99,False,
quant_0818,CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,415800,4157.99,False,
quant_0818,CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,444900,4448.99,False,
quant_0818,CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy,robust_data_results/cases/CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,170000,1699.99,False,
quant_0818,CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy,robust_data_results/cases/CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,238200,2381.99,False,
quant_0818,CityRoad/20260706_1_P182_0_120_4W260_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260706_1_P182_0_120_4W260_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,189900,1898.99,False,
quant_0818,HillRoad/20260714_1_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260714_1_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,236600,2365.99,False,
quant_0818,HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,431900,4318.99,False,
quant_0818,HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,196800,1967.99,False,
quant_0818,HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,228600,2285.99,False,
quant_0818,HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,175700,1756.99,False,
quant_0818,HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,175200,1751.99,False,
quant_0818,HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,217000,2169.99,False,
quant_0818,HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,289100,2890.99,False,
quant_0818,HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,291400,2913.99,False,
quant_0818,HillRoad/20260715_2_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_2_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,223700,2236.99,False,
quant_0818,HillRoad/20260715_3_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,173000,1729.99,False,
quant_0818,HillRoad/20260715_4_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,234800,2347.99,False,
quant_0818,HillRoad/20260715_5_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_5_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,184300,1842.99,False,
quant_0818,HillRoad/20260715_6_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_6_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,245900,2458.99,False,
quant_0818,HillRoad/20260715_7_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_7_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,296900,2968.99,False,
quant_0818,Load/20260707_1_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_1_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,234900,2348.99,False,
quant_0818,Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny,robust_data_results/cases/Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny/wheel_speed_raw_vs_corrected.csv,102500,1024.99,False,
quant_0818,Load/20260707_3_P182_Load500kg_75kph_4W260_SongzeGaojia_Sunny,robust_data_results/cases/Load/20260707_3_P182_Load500kg_75kph_4W260_SongzeGaojia_Sunny/wheel_speed_raw_vs_corrected.csv,119500,1194.99,False,
quant_0818,Load/20260707_4_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_4_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,228800,2287.99,False,
quant_0818,Load/20260707_5_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_5_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,233200,2331.99,False,
quant_0818,Load/20260707_6_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_6_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,223100,2230.99,False,
quant_0818,Load/20260707_7_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_7_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,208900,2088.99,False,
quant_0818,Load/20260707_8_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_8_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,242200,2421.99,False,
quant_previous,CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,246400,2463.99,False,
quant_previous,CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,522500,5224.99,False,
quant_previous,CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,121300,1212.99,False,
quant_previous,CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,277600,2775.99,False,
quant_previous,CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,145800,1457.99,False,
quant_previous,CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,181200,1811.99,False,
quant_previous,CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,164000,1639.99,False,
quant_previous,CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,198300,1982.99,False,
quant_previous,CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,412200,4121.99,False,
quant_previous,CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,415800,4157.99,False,
quant_previous,CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,444900,4448.99,False,
quant_previous,CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy,robust_data_results/cases/CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,170000,1699.99,False,
quant_previous,CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy,robust_data_results/cases/CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,238200,2381.99,False,
