Date: 2026-06-14 15:49:42
 DateTime,AirPressure
49-42-000 ,2.60 
49-42-004 ,2.60 
49-42-008 ,2.60 
49-42-012 ,2.60 
49-42-016 ,2.61 
49-42-020 ,2.61 
49-42-024 ,2.61 
49-42-028 ,2.61 
49-42-032 ,2.60 
49-42-036 ,2.55 
49-42-040 ,2.47 
49-42-044 ,2.39 
49-42-048 ,2.31 
49-42-052 ,2.23 
49-42-056 ,2.16 
49-42-060 ,2.09 
49-42-064 ,2.03 
49-42-068 ,1.96 
49-42-072 ,1.91 
49-42-076 ,1.86 
49-42-080 ,1.80 
49-42-084 ,1.75 
49-42-088 ,1.70 
49-42-092 ,1.65 
49-42-096 ,1.61 
49-42-100 ,1.56 
49-42-104 ,1.51 
49-42-108 ,1.47 
49-42-112 ,1.43 
49-42-116 ,1.38 
49-42-120 ,1.34 
49-42-124 ,1.30 
49-42-128 ,1.26 
49-42-132 ,1.21 
49-42-136 ,1.18 
49-42-140 ,1.14 
49-42-144 ,1.10 
49-42-148 ,1.07 
49-42-152 ,1.03 
49-42-156 ,1.00 
49-42-160 ,0.97 
49-42-164 ,0.94 
49-42-168 ,0.90 
49-42-172 ,0.87 
49-42-176 ,0.84 
49-42-180 ,0.81 
49-42-184 ,0.78 
49-42-188 ,0.76 
49-42-192 ,0.73 
49-42-196 ,0.70 
49-42-200 ,0.68 
49-42-204 ,0.65 
49-42-208 ,0.62 
49-42-212 ,0.60 
49-42-216 ,0.58 
49-42-220 ,0.55 
49-42-224 ,0.53 
49-42-228 ,0.51 
49-42-232 ,0.49 
49-42-236 ,0.47 
49-42-240 ,0.45 
49-42-244 ,0.43 
49-42-248 ,0.41 
49-42-252 ,0.39 
49-42-256 ,0.37 
49-42-260 ,0.35 
49-42-264 ,0.34 
49-42-268 ,0.32 
49-42-272 ,0.31 
49-42-276 ,0.29 
49-42-280 ,0.28 
49-42-284 ,0.27 
49-42-288 ,0.26 
49-42-292 ,0.24 
49-42-296 ,0.23 
49-42-300 ,0.21 
49-42-304 ,0.20 
49-42-308 ,0.18 
49-42-312 ,0.17 
49-42-316 ,0.17 
49-42-320 ,0.16 
49-42-324 ,0.16 
49-42-328 ,0.15 
49-42-332 ,0.15 
49-42-336 ,0.15 
49-42-340 ,0.15 
49-42-344 ,0.15 
49-42-348 ,0.15 
49-42-352 ,0.15 
49-42-356 ,0.15 
49-42-360 ,0.16 
49-42-364 ,0.16 
49-42-368 ,0.16 
49-42-372 ,0.16 
49-42-376 ,0.16 
49-42-380 ,0.16 
49-42-384 ,0.16 
49-42-388 ,0.16 
49-42-392 ,0.16 
49-42-396 ,0.16 
49-42-400 ,0.17 
49-42-404 ,0.18 
49-42-408 ,0.18 
49-42-412 ,0.18 
49-42-416 ,0.18 
49-42-420 ,0.18 
49-42-424 ,0.18 
49-42-428 ,0.18 
49-42-432 ,0.18 
49-42-436 ,0.18 
49-42-440 ,0.19 
49-42-444 ,0.19 
49-42-448 ,0.19 
49-42-452 ,0.19 
49-42-456 ,0.19 
49-42-460 ,0.19 
49-42-464 ,0.19 
49-42-468 ,0.19 
49-42-472 ,0.19 
49-42-476 ,0.20 
49-42-480 ,0.19 
49-42-484 ,0.19 
49-42-488 ,0.19 
49-42-492 ,0.20 
49-42-496 ,0.20 
49-42-500 ,0.20 
49-42-504 ,0.20 
49-42-508 ,0.20 
49-42-512 ,0.20 
49-42-516 ,0.20 
49-42-520 ,0.20 
49-42-524 ,0.20 
49-42-528 ,0.20 
49-42-532 ,0.21 
49-42-536 ,0.21 
49-42-540 ,0.21 
49-42-544 ,0.21 
49-42-548 ,0.21 
49-42-552 ,0.21 
49-42-556 ,0.21 
49-42-560 ,0.21 
49-42-564 ,0.21 
49-42-568 ,0.21 
49-42-572 ,0.21 
49-42-576 ,0.21 
49-42-580 ,0.21 
49-42-584 ,0.21 
49-42-588 ,0.22 
49-42-592 ,0.22 
49-42-596 ,0.22 
49-42-600 ,0.22 
49-42-604 ,0.22 
49-42-608 ,0.22 
49-42-612 ,0.22 
49-42-616 ,0.22 
49-42-620 ,0.22 
49-42-624 ,0.22 
49-42-628 ,0.22 
49-42-632 ,0.22 
49-42-636 ,0.22 
49-42-640 ,0.23 
49-42-644 ,0.23 
49-42-648 ,0.22 
49-42-652 ,0.22 
49-42-656 ,0.22 
49-42-660 ,0.22 
49-42-664 ,0.22 
49-42-668 ,0.22 
49-42-672 ,0.23 
49-42-676 ,0.23 
49-42-680 ,0.23 
49-42-684 ,0.23 
49-42-688 ,0.23 
49-42-692 ,0.23 
49-42-696 ,0.23 
49-42-700 ,0.23 
49-42-704 ,0.23 
49-42-708 ,0.23 
49-42-712 ,0.22 
49-42-716 ,0.22 
49-42-720 ,0.22 
49-42-724 ,0.22 
49-42-728 ,0.22 
49-42-732 ,0.22 
49-42-736 ,0.23 
49-42-740 ,0.23 
49-42-744 ,0.23 
49-42-748 ,0.23 
49-42-752 ,0.23 
49-42-756 ,0.22 
49-42-760 ,0.22 
49-42-764 ,0.22 
49-42-768 ,0.23 
49-42-772 ,0.23 
49-42-776 ,0.23 
49-42-780 ,0.23 
49-42-784 ,0.23 
49-42-788 ,0.23 
49-42-792 ,0.23 
49-42-796 ,0.23 
49-42-800 ,0.23 
49-42-804 ,0.23 
49-42-808 ,0.24 
49-42-812 ,0.23 
49-42-816 ,0.23 
49-42-820 ,0.23 
49-42-824 ,0.23 
49-42-828 ,0.23 
49-42-832 ,0.23 
49-42-836 ,0.24 
49-42-840 ,0.24 
49-42-844 ,0.24 
49-42-848 ,0.24 
49-42-852 ,0.24 
49-42-856 ,0.24 
49-42-860 ,0.23 
49-42-864 ,0.24 
49-42-868 ,0.24 
49-42-872 ,0.24 
49-42-876 ,0.24 
49-42-880 ,0.24 
49-42-884 ,0.24 
49-42-888 ,0.24 
49-42-892 ,0.24 
49-42-896 ,0.24 
49-42-900 ,0.24 
49-42-904 ,0.24 
49-42-908 ,0.24 
49-42-912 ,0.24 
49-42-916 ,0.24 
49-42-920 ,0.24 
49-42-924 ,0.24 
49-42-928 ,0.24 
49-42-932 ,0.24 
49-42-936 ,0.24 
49-42-940 ,0.24 
49-42-944 ,0.24 
49-42-948 ,0.24 
49-42-952 ,0.24 
49-42-956 ,0.24 
49-42-960 ,0.24 
49-42-964 ,0.24 
49-42-968 ,0.24 
49-42-972 ,0.24 
49-42-976 ,0.24 
49-42-980 ,0.24 
