Date: 2026-06-14 15:29:29
 DateTime,AirPressure
29-29-000 ,2.58 
29-29-004 ,2.58 
29-29-008 ,2.58 
29-29-012 ,2.58 
29-29-016 ,2.58 
29-29-020 ,2.58 
29-29-024 ,2.58 
29-29-028 ,2.58 
29-29-032 ,2.58 
29-29-036 ,2.54 
29-29-040 ,2.46 
29-29-044 ,2.38 
29-29-048 ,2.31 
29-29-052 ,2.24 
29-29-056 ,2.17 
29-29-060 ,2.10 
29-29-064 ,2.03 
29-29-068 ,1.97 
29-29-072 ,1.91 
29-29-076 ,1.86 
29-29-080 ,1.80 
29-29-084 ,1.75 
29-29-088 ,1.70 
29-29-092 ,1.65 
29-29-096 ,1.60 
29-29-100 ,1.56 
29-29-104 ,1.52 
29-29-108 ,1.47 
29-29-112 ,1.43 
29-29-116 ,1.39 
29-29-120 ,1.34 
29-29-124 ,1.31 
29-29-128 ,1.26 
29-29-132 ,1.22 
29-29-136 ,1.18 
29-29-140 ,1.15 
29-29-144 ,1.11 
29-29-148 ,1.07 
29-29-152 ,1.04 
29-29-156 ,1.00 
29-29-160 ,0.97 
29-29-164 ,0.93 
29-29-168 ,0.90 
29-29-172 ,0.87 
29-29-176 ,0.84 
29-29-180 ,0.81 
29-29-184 ,0.78 
29-29-188 ,0.75 
29-29-192 ,0.73 
29-29-196 ,0.71 
29-29-200 ,0.69 
29-29-204 ,0.66 
29-29-208 ,0.64 
29-29-212 ,0.61 
29-29-216 ,0.59 
29-29-220 ,0.56 
29-29-224 ,0.54 
29-29-228 ,0.51 
29-29-232 ,0.49 
29-29-236 ,0.46 
29-29-240 ,0.44 
29-29-244 ,0.41 
29-29-248 ,0.39 
29-29-252 ,0.37 
29-29-256 ,0.35 
29-29-260 ,0.33 
29-29-264 ,0.32 
29-29-268 ,0.31 
29-29-272 ,0.29 
29-29-276 ,0.28 
29-29-280 ,0.27 
29-29-284 ,0.25 
29-29-288 ,0.24 
29-29-292 ,0.23 
29-29-296 ,0.22 
29-29-300 ,0.21 
29-29-304 ,0.20 
29-29-308 ,0.19 
29-29-312 ,0.18 
29-29-316 ,0.17 
29-29-320 ,0.15 
29-29-324 ,0.14 
29-29-328 ,0.13 
29-29-332 ,0.12 
29-29-336 ,0.13 
29-29-340 ,0.14 
29-29-344 ,0.15 
29-29-348 ,0.16 
29-29-352 ,0.17 
29-29-356 ,0.18 
29-29-360 ,0.18 
29-29-364 ,0.19 
29-29-368 ,0.18 
29-29-372 ,0.17 
29-29-376 ,0.16 
29-29-380 ,0.14 
29-29-384 ,0.13 
29-29-388 ,0.13 
29-29-392 ,0.13 
29-29-396 ,0.13 
29-29-400 ,0.14 
29-29-404 ,0.15 
29-29-408 ,0.16 
29-29-412 ,0.18 
29-29-416 ,0.19 
29-29-420 ,0.20 
29-29-424 ,0.20 
29-29-428 ,0.21 
29-29-432 ,0.21 
29-29-436 ,0.20 
29-29-440 ,0.19 
29-29-444 ,0.16 
29-29-448 ,0.15 
29-29-452 ,0.15 
29-29-456 ,0.16 
29-29-460 ,0.16 
29-29-464 ,0.16 
29-29-468 ,0.17 
29-29-472 ,0.18 
29-29-476 ,0.20 
29-29-480 ,0.22 
29-29-484 ,0.23 
29-29-488 ,0.24 
29-29-492 ,0.23 
29-29-496 ,0.20 
29-29-500 ,0.18 
29-29-504 ,0.16 
29-29-508 ,0.15 
29-29-512 ,0.15 
29-29-516 ,0.15 
29-29-520 ,0.16 
29-29-524 ,0.16 
29-29-528 ,0.17 
29-29-532 ,0.19 
29-29-536 ,0.20 
29-29-540 ,0.21 
29-29-544 ,0.22 
29-29-548 ,0.23 
29-29-552 ,0.23 
29-29-556 ,0.24 
29-29-560 ,0.23 
29-29-564 ,0.22 
29-29-568 ,0.21 
29-29-572 ,0.20 
