Date: 2026-06-14 15:45:41
 DateTime,AirPressure
45-41-000 ,2.57 
45-41-004 ,2.57 
45-41-008 ,2.57 
45-41-012 ,2.57 
45-41-016 ,2.57 
45-41-020 ,2.57 
45-41-024 ,2.56 
45-41-028 ,2.57 
45-41-032 ,2.56 
45-41-036 ,2.53 
45-41-040 ,2.46 
45-41-044 ,2.38 
45-41-048 ,2.31 
45-41-052 ,2.24 
45-41-056 ,2.16 
45-41-060 ,2.10 
45-41-064 ,2.03 
45-41-068 ,1.97 
45-41-072 ,1.91 
45-41-076 ,1.85 
45-41-080 ,1.80 
45-41-084 ,1.74 
45-41-088 ,1.69 
45-41-092 ,1.64 
45-41-096 ,1.59 
45-41-100 ,1.55 
45-41-104 ,1.50 
45-41-108 ,1.46 
45-41-112 ,1.41 
45-41-116 ,1.37 
45-41-120 ,1.33 
45-41-124 ,1.29 
45-41-128 ,1.24 
45-41-132 ,1.21 
45-41-136 ,1.17 
45-41-140 ,1.14 
45-41-144 ,1.10 
45-41-148 ,1.06 
45-41-152 ,1.03 
45-41-156 ,0.99 
45-41-160 ,0.96 
45-41-164 ,0.93 
45-41-168 ,0.90 
45-41-172 ,0.87 
45-41-176 ,0.84 
45-41-180 ,0.81 
45-41-184 ,0.78 
45-41-188 ,0.76 
45-41-192 ,0.73 
45-41-196 ,0.70 
45-41-200 ,0.68 
45-41-204 ,0.65 
45-41-208 ,0.63 
45-41-212 ,0.60 
45-41-216 ,0.58 
45-41-220 ,0.55 
45-41-224 ,0.53 
45-41-228 ,0.51 
45-41-232 ,0.49 
45-41-236 ,0.47 
45-41-240 ,0.45 
45-41-244 ,0.43 
45-41-248 ,0.41 
45-41-252 ,0.39 
45-41-256 ,0.37 
45-41-260 ,0.36 
45-41-264 ,0.34 
45-41-268 ,0.33 
45-41-272 ,0.32 
45-41-276 ,0.30 
45-41-280 ,0.29 
45-41-284 ,0.28 
45-41-288 ,0.27 
45-41-292 ,0.26 
45-41-296 ,0.25 
45-41-300 ,0.24 
45-41-304 ,0.24 
45-41-308 ,0.22 
45-41-312 ,0.21 
45-41-316 ,0.20 
45-41-320 ,0.20 
45-41-324 ,0.20 
45-41-328 ,0.21 
45-41-332 ,0.21 
45-41-336 ,0.21 
45-41-340 ,0.21 
45-41-344 ,0.22 
45-41-348 ,0.22 
45-41-352 ,0.23 
45-41-356 ,0.23 
45-41-360 ,0.22 
45-41-364 ,0.22 
45-41-368 ,0.23 
45-41-372 ,0.23 
45-41-376 ,0.24 
45-41-380 ,0.24 
45-41-384 ,0.24 
45-41-388 ,0.24 
45-41-392 ,0.25 
45-41-396 ,0.25 
45-41-400 ,0.25 
45-41-404 ,0.25 
45-41-408 ,0.24 
45-41-412 ,0.25 
45-41-416 ,0.25 
45-41-420 ,0.25 
45-41-424 ,0.26 
45-41-428 ,0.26 
45-41-432 ,0.26 
45-41-436 ,0.26 
45-41-440 ,0.26 
45-41-444 ,0.26 
45-41-448 ,0.26 
45-41-452 ,0.26 
45-41-456 ,0.26 
45-41-460 ,0.27 
45-41-464 ,0.27 
45-41-468 ,0.27 
45-41-472 ,0.27 
45-41-476 ,0.27 
45-41-480 ,0.28 
45-41-484 ,0.27 
45-41-488 ,0.27 
45-41-492 ,0.28 
45-41-496 ,0.28 
45-41-500 ,0.28 
45-41-504 ,0.28 
45-41-508 ,0.28 
45-41-512 ,0.28 
45-41-516 ,0.28 
45-41-520 ,0.29 
45-41-524 ,0.28 
45-41-528 ,0.28 
45-41-532 ,0.29 
45-41-536 ,0.29 
45-41-540 ,0.29 
45-41-544 ,0.29 
45-41-548 ,0.29 
45-41-552 ,0.29 
45-41-556 ,0.29 
45-41-560 ,0.29 
45-41-564 ,0.29 
45-41-568 ,0.29 
45-41-572 ,0.29 
45-41-576 ,0.31 
45-41-580 ,0.31 
45-41-584 ,0.31 
45-41-588 ,0.31 
45-41-592 ,0.31 
45-41-596 ,0.31 
45-41-600 ,0.31 
45-41-604 ,0.32 
45-41-608 ,0.32 
45-41-612 ,0.32 
45-41-616 ,0.32 
45-41-620 ,0.32 
45-41-624 ,0.32 
45-41-628 ,0.31 
45-41-632 ,0.32 
45-41-636 ,0.31 
45-41-640 ,0.32 
45-41-644 ,0.32 
45-41-648 ,0.32 
45-41-652 ,0.32 
45-41-656 ,0.32 
45-41-660 ,0.32 
45-41-664 ,0.31 
45-41-668 ,0.31 
45-41-672 ,0.31 
45-41-676 ,0.31 
45-41-680 ,0.31 
45-41-684 ,0.31 
45-41-688 ,0.31 
45-41-692 ,0.31 
45-41-696 ,0.31 
45-41-700 ,0.31 
45-41-704 ,0.31 
45-41-708 ,0.31 
45-41-712 ,0.31 
45-41-716 ,0.31 
45-41-720 ,0.31 
45-41-724 ,0.31 
45-41-728 ,0.31 
45-41-732 ,0.31 
45-41-736 ,0.31 
45-41-740 ,0.31 
45-41-744 ,0.31 
45-41-748 ,0.31 
45-41-752 ,0.31 
45-41-756 ,0.31 
45-41-760 ,0.31 
45-41-764 ,0.31 
45-41-768 ,0.32 
45-41-772 ,0.31 
45-41-776 ,0.32 
45-41-780 ,0.32 
45-41-784 ,0.32 
45-41-788 ,0.32 
45-41-792 ,0.32 
45-41-796 ,0.32 
45-41-800 ,0.32 
45-41-804 ,0.32 
45-41-808 ,0.32 
45-41-812 ,0.32 
45-41-816 ,0.32 
45-41-820 ,0.32 
45-41-824 ,0.32 
45-41-828 ,0.32 
45-41-832 ,0.33 
45-41-836 ,0.32 
45-41-840 ,0.32 
45-41-844 ,0.32 
45-41-848 ,0.32 
45-41-852 ,0.32 
45-41-856 ,0.32 
45-41-860 ,0.33 
45-41-864 ,0.33 
45-41-868 ,0.33 
45-41-872 ,0.33 
45-41-876 ,0.33 
45-41-880 ,0.33 
45-41-884 ,0.33 
45-41-888 ,0.33 
45-41-892 ,0.33 
45-41-896 ,0.33 
45-41-900 ,0.33 
45-41-904 ,0.34 
45-41-908 ,0.34 
45-41-912 ,0.34 
45-41-916 ,0.34 
45-41-920 ,0.34 
45-41-924 ,0.34 
45-41-928 ,0.34 
45-41-932 ,0.34 
45-41-936 ,0.34 
45-41-940 ,0.34 
45-41-944 ,0.34 
45-41-948 ,0.34 
45-41-952 ,0.34 
45-41-956 ,0.34 
45-41-960 ,0.34 
45-41-964 ,0.33 
45-41-968 ,0.33 
45-41-972 ,0.33 
45-41-976 ,0.33 
45-41-980 ,0.33 
45-41-984 ,0.33 
45-41-988 ,0.33 
45-41-992 ,0.33 
45-41-996 ,0.33 
45-42-000 ,0.34 
45-42-004 ,0.33 
45-42-008 ,0.33 
45-42-012 ,0.33 
45-42-016 ,0.33 
45-42-020 ,0.33 
45-42-024 ,0.33 
45-42-028 ,0.33 
45-42-032 ,0.33 
45-42-036 ,0.33 
45-42-040 ,0.33 
45-42-044 ,0.33 
45-42-048 ,0.33 
45-42-052 ,0.33 
45-42-056 ,0.33 
45-42-060 ,0.33 
45-42-064 ,0.34 
45-42-068 ,0.34 
45-42-072 ,0.34 
45-42-076 ,0.34 
45-42-080 ,0.34 
45-42-084 ,0.34 
45-42-088 ,0.34 
45-42-092 ,0.34 
45-42-096 ,0.34 
45-42-100 ,0.34 
45-42-104 ,0.34 
45-42-108 ,0.34 
45-42-112 ,0.34 
45-42-116 ,0.34 
45-42-120 ,0.34 
45-42-124 ,0.34 
45-42-128 ,0.34 
45-42-132 ,0.34 
45-42-136 ,0.34 
45-42-140 ,0.34 
45-42-144 ,0.34 
45-42-148 ,0.34 
45-42-152 ,0.34 
45-42-156 ,0.34 
45-42-160 ,0.34 
45-42-164 ,0.34 
45-42-168 ,0.34 
45-42-172 ,0.34 
45-42-176 ,0.34 
45-42-180 ,0.34 
45-42-184 ,0.34 
45-42-188 ,0.34 
45-42-192 ,0.34 
45-42-196 ,0.34 
45-42-200 ,0.34 
45-42-204 ,0.34 
45-42-208 ,0.34 
45-42-212 ,0.34 
45-42-216 ,0.34 
45-42-220 ,0.34 
45-42-224 ,0.34 
45-42-228 ,0.34 
45-42-232 ,0.34 
45-42-236 ,0.34 
45-42-240 ,0.34 
45-42-244 ,0.34 
45-42-248 ,0.34 
45-42-252 ,0.34 
45-42-256 ,0.34 
45-42-260 ,0.34 
45-42-264 ,0.34 
45-42-268 ,0.34 
45-42-272 ,0.34 
45-42-276 ,0.34 
45-42-280 ,0.34 
45-42-284 ,0.34 
45-42-288 ,0.34 
45-42-292 ,0.34 
45-42-296 ,0.34 
45-42-300 ,0.34 
45-42-304 ,0.34 
