Date: 2026-06-14 15:23:45
 DateTime,AirPressure
23-45-000 ,2.56 
23-45-004 ,2.56 
23-45-008 ,2.54 
23-45-012 ,2.55 
23-45-016 ,2.55 
23-45-020 ,2.55 
23-45-024 ,2.55 
23-45-028 ,2.55 
23-45-032 ,2.55 
23-45-036 ,2.53 
23-45-040 ,2.46 
23-45-044 ,2.38 
23-45-048 ,2.31 
23-45-052 ,2.23 
23-45-056 ,2.17 
23-45-060 ,2.10 
23-45-064 ,2.04 
23-45-068 ,1.98 
23-45-072 ,1.92 
23-45-076 ,1.86 
23-45-080 ,1.81 
23-45-084 ,1.76 
23-45-088 ,1.71 
23-45-092 ,1.66 
23-45-096 ,1.61 
23-45-100 ,1.57 
23-45-104 ,1.52 
23-45-108 ,1.47 
23-45-112 ,1.43 
23-45-116 ,1.39 
23-45-120 ,1.34 
23-45-124 ,1.30 
23-45-128 ,1.26 
23-45-132 ,1.22 
23-45-136 ,1.18 
23-45-140 ,1.14 
23-45-144 ,1.11 
23-45-148 ,1.07 
23-45-152 ,1.03 
23-45-156 ,1.00 
23-45-160 ,0.96 
23-45-164 ,0.93 
23-45-168 ,0.90 
23-45-172 ,0.87 
23-45-176 ,0.84 
23-45-180 ,0.80 
23-45-184 ,0.77 
23-45-188 ,0.74 
23-45-192 ,0.72 
23-45-196 ,0.69 
23-45-200 ,0.66 
23-45-204 ,0.64 
23-45-208 ,0.61 
23-45-212 ,0.59 
23-45-216 ,0.56 
23-45-220 ,0.54 
23-45-224 ,0.52 
23-45-228 ,0.49 
23-45-232 ,0.47 
23-45-236 ,0.44 
23-45-240 ,0.42 
23-45-244 ,0.41 
23-45-248 ,0.39 
23-45-252 ,0.36 
23-45-256 ,0.34 
23-45-260 ,0.33 
23-45-264 ,0.31 
23-45-268 ,0.30 
23-45-272 ,0.29 
23-45-276 ,0.27 
23-45-280 ,0.26 
23-45-284 ,0.25 
23-45-288 ,0.24 
23-45-292 ,0.23 
23-45-296 ,0.23 
23-45-300 ,0.22 
23-45-304 ,0.22 
23-45-308 ,0.21 
23-45-312 ,0.21 
23-45-316 ,0.21 
23-45-320 ,0.20 
23-45-324 ,0.20 
23-45-328 ,0.21 
23-45-332 ,0.21 
23-45-336 ,0.21 
23-45-340 ,0.21 
23-45-344 ,0.21 
23-45-348 ,0.21 
23-45-352 ,0.21 
23-45-356 ,0.21 
23-45-360 ,0.22 
23-45-364 ,0.22 
23-45-368 ,0.22 
23-45-372 ,0.22 
23-45-376 ,0.23 
23-45-380 ,0.23 
23-45-384 ,0.23 
23-45-388 ,0.23 
23-45-392 ,0.23 
23-45-396 ,0.23 
23-45-400 ,0.23 
23-45-404 ,0.23 
23-45-408 ,0.23 
23-45-412 ,0.23 
23-45-416 ,0.23 
23-45-420 ,0.24 
23-45-424 ,0.24 
23-45-428 ,0.24 
23-45-432 ,0.25 
23-45-436 ,0.25 
23-45-440 ,0.25 
23-45-444 ,0.25 
23-45-448 ,0.25 
23-45-452 ,0.25 
23-45-456 ,0.25 
23-45-460 ,0.25 
23-45-464 ,0.25 
