sample_id,sample_type,source_event_id,source_file,sample_file,event_time_in_sample_s,source_event_time_s,source_start_s,source_end_s,time_scale,speed_scale,noise_gain,noise_model,dropout_samples,is_augmented,target_wheels,sensor_wheels,sensor_delay_s,sensor_signal_columns,sensor_signal_time_s
E01_event_000,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_000.csv,40.00000000,402.16000000,362.16000000,412.15000000,1.00000000,1.00000000,0.00000000,none,0,0,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.30000000
E01_event_001,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_001.csv,39.70690192,402.16000000,364.17364524,411.99751924,1.04529382,0.95114211,0.12640687,contiguous_correlated_residual_v2,1,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.00690192
E01_event_002,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_002.csv,39.70311608,402.16000000,362.56537480,412.41877447,1.00274004,0.99644256,0.18957139,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.00311608
E01_event_003,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_003.csv,40.46997068,402.16000000,362.63952390,411.45667319,1.02402538,0.99669188,0.13030464,contiguous_correlated_residual_v2,1,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.76997068
E01_event_004,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_004.csv,39.79423314,402.16000000,364.13681421,411.90200298,1.04657809,1.04073533,0.14518506,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.09423314
E01_event_005,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_005.csv,40.02797303,402.16000000,361.25594048,412.34006442,0.97858192,1.01206889,0.27425547,contiguous_correlated_residual_v2,2,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.32797303
E01_event_006,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_006.csv,39.52252928,402.16000000,361.59749063,412.90290757,0.97436105,0.96028771,0.43968370,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.82252928
E01_event_007,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_007.csv,40.15807681,402.16000000,360.33897538,412.39906359,0.96023656,1.02421648,0.44408480,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.45807681
E01_event_008,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_008.csv,39.81877533,402.16000000,363.19824926,412.11230810,1.02199656,0.99018094,0.12988394,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.11877533
E01_event_009,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_009.csv,40.12900819,402.16000000,362.11754035,411.99972404,1.00216142,1.02196472,0.32602755,contiguous_correlated_residual_v2,3,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.42900819
E01_event_010,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_010.csv,39.86703769,402.16000000,364.15136859,411.81107932,1.04889432,0.95600261,0.10130829,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.16703769
E01_event_011,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_011.csv,40.06469844,402.16000000,361.67122572,412.19035864,0.98952609,0.95363165,0.17772929,contiguous_correlated_residual_v2,3,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.36469844
E01_event_012,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_012.csv,39.54983753,402.16000000,363.47681236,412.37138869,1.02240379,0.95558205,0.20492424,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.84983753
E01_event_013,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_013.csv,39.78462683,402.16000000,362.91142215,412.22786830,1.01365779,0.99567085,0.33058290,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.08462683
E01_event_014,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_014.csv,39.80762967,402.16000000,360.35663204,412.85285906,0.95225891,1.02313721,0.48840691,contiguous_correlated_residual_v2,3,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.10762967
E01_event_015,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_015.csv,39.57249169,402.16000000,360.53797171,413.11705140,0.95075837,1.00909935,0.37327608,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.87249169
E01_event_016,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_016.csv,40.40790077,402.16000000,363.29194904,411.37694803,1.03961737,1.02025279,0.20298245,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.70790077
E01_event_017,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_017.csv,39.61183212,402.16000000,361.36805611,412.84735323,0.97106998,0.95666764,0.27031262,contiguous_correlated_residual_v2,1,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.91183212
E01_event_018,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_018.csv,40.35930896,402.16000000,363.34783338,411.42150608,1.03986230,0.98536187,0.19306230,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.65930896
E01_event_019,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_019.csv,40.09442087,402.16000000,362.56035947,411.93346393,1.01249457,1.03058051,0.11221288,contiguous_correlated_residual_v2,3,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.39442087
E01_event_020,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_020.csv,39.62349449,402.16000000,362.98317832,412.40964463,1.01140146,1.04834728,0.26152335,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.92349449
E01_event_021,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_021.csv,39.55078355,402.16000000,361.97822038,412.76576447,0.98429646,1.04279757,0.19482371,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.85078355
E01_event_022,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_022.csv,39.82906206,402.16000000,364.17366794,411.85083234,1.04851034,0.97595843,0.16641645,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.12906206
E01_event_023,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_023.csv,40.31031690,402.16000000,363.45641510,411.45385987,1.04151378,0.98351905,0.30077733,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.61031690
E01_event_024,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_024.csv,40.20643883,402.16000000,363.61867688,411.53838324,1.04320339,1.04958182,0.17720123,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.50643883
E01_event_025,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_025.csv,39.66083896,402.16000000,361.01074809,412.87679926,0.96382892,1.00815437,0.17706850,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.96083896
E01_event_026,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_026.csv,40.13871351,402.16000000,363.30395054,411.69648090,1.03301067,1.04716345,0.29049253,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.43871351
E01_event_027,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_027.csv,39.61753903,402.16000000,363.57575063,412.26193036,1.02678009,0.98332305,0.29302452,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.91753903
E01_event_028,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_028.csv,40.46032259,402.16000000,360.77403498,411.90769529,0.97763390,1.03658284,0.22272247,contiguous_correlated_residual_v2,3,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.76032259
E01_event_029,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_029.csv,39.74097946,402.16000000,363.36382959,412.16535852,1.02435315,1.03455714,0.17565079,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.04097946
E01_event_030,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_030.csv,39.87912335,402.16000000,362.49903628,412.21556488,1.00550061,1.01034638,0.42526457,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.17912335
E01_event_031,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_031.csv,40.24110778,402.16000000,362.28209426,411.82090216,1.00910785,0.97306762,0.35555945,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.54110778
E01_event_032,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_032.csv,40.14073306,402.16000000,361.72508303,412.08145037,0.99272451,0.97342631,0.13621297,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.44073306
E01_event_033,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_033.csv,40.27018056,402.16000000,362.98863596,411.61460339,1.02805153,0.97911449,0.47326294,contiguous_correlated_residual_v2,1,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.57018056
E01_event_034,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_034.csv,40.32720304,402.16000000,363.28585131,411.47463075,1.03737842,1.01429415,0.23815086,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.62720304
E01_event_035,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_035.csv,39.80579469,402.16000000,360.85605646,412.72750266,0.96372867,0.97710467,0.41995087,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.10579469
E01_event_036,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_036.csv,39.74682181,402.16000000,361.16657840,412.72444020,0.96959025,0.98928849,0.14338445,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.04682181
E01_event_037,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_037.csv,39.89442308,402.16000000,362.51994398,412.19120746,1.00641692,1.03829197,0.39742683,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.19442308
E01_event_038,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_038.csv,40.26524779,402.16000000,362.98488119,411.62146725,1.02782708,1.02921743,0.47220088,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.56524779
E01_event_039,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_039.csv,40.20188733,402.16000000,362.22742614,411.88254186,1.00674421,0.95688855,0.15771700,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.50188733
E01_event_040,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_040.csv,39.62496370,402.16000000,362.50496510,412.53290228,0.99924168,1.03366730,0.38365092,contiguous_correlated_residual_v2,2,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.92496370
E01_event_041,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_041.csv,39.99582397,402.16000000,360.17620393,412.65093147,0.95264906,1.04761042,0.16689807,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.29582397
E01_event_042,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_042.csv,39.64775301,402.16000000,362.59478252,412.48071733,1.00208606,1.04626012,0.25616917,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.94775301
E01_event_043,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_043.csv,40.49525187,402.16000000,363.48144534,411.22879493,1.04696911,1.01373861,0.40854093,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.79525187
E01_event_044,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_044.csv,40.45064796,402.16000000,362.07969928,411.61201418,1.00924013,1.04742495,0.17862955,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.75064796
E01_event_045,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_045.csv,40.32545465,402.16000000,360.74537739,412.08557931,0.97370088,1.04133299,0.23701160,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.62545465
E01_event_046,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_046.csv,39.79529757,402.16000000,363.29117870,412.11735907,1.02383598,1.02064929,0.45104925,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.09529757
E01_event_047,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_047.csv,40.09292846,402.16000000,363.30933475,411.75041477,1.03197534,1.02375455,0.43269873,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.39292846
E01_event_048,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_048.csv,39.71482544,402.16000000,362.53611976,412.41164486,1.00229521,1.04472099,0.20792355,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.01482544
E01_event_049,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_049.csv,39.64347349,402.16000000,362.36973504,412.54483752,0.99631087,1.03865568,0.12327731,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.94347349
E01_event_050,event,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_event_050.csv,39.97363719,402.16000000,363.42028955,411.86717259,1.03185173,1.01232839,0.42642907,contiguous_correlated_residual_v2,1,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.27363719
E01_normal_001,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_001.csv,,402.16000000,54.92248261,107.26913690,0.95497985,0.95875176,0.40825923,contiguous_correlated_residual_v2,0,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_002,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_002.csv,,402.16000000,248.28665454,300.69243867,0.95390234,0.96801521,0.25035558,contiguous_correlated_residual_v2,0,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_003,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_003.csv,,402.16000000,191.95831122,240.02917005,1.03992317,1.04949782,0.48664306,contiguous_correlated_residual_v2,0,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_004,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_004.csv,,402.16000000,7.71631014,59.64036958,0.96275215,0.98212045,0.25818173,contiguous_correlated_residual_v2,3,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_005,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_005.csv,,402.16000000,294.50041474,346.18250222,0.96725969,0.98679196,0.20997482,contiguous_correlated_residual_v2,0,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_006,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_006.csv,,402.16000000,121.21502419,173.03376500,0.96470889,0.97291726,0.47584389,contiguous_correlated_residual_v2,3,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_007,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_007.csv,,402.16000000,83.94081329,133.77705915,1.00308519,1.01516051,0.11770754,contiguous_correlated_residual_v2,0,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_008,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_008.csv,,402.16000000,24.76998121,73.89733180,1.01755945,0.99785352,0.12376159,contiguous_correlated_residual_v2,0,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_009,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_009.csv,,402.16000000,325.02198493,374.80600592,1.00413745,1.01637798,0.25652368,contiguous_correlated_residual_v2,0,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E01_normal_010,normal,E01,20260116_yuan_baotai_rr100_45kmh.txt,samples/E01_normal_010.csv,,402.16000000,103.97137800,152.46249871,1.03091039,1.00652910,0.13081650,contiguous_correlated_residual_v2,3,1,,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,
E02_event_000,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_000.csv,40.00000000,429.68000000,389.68000000,439.67000000,1.00000000,1.00000000,0.00000000,none,0,0,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.30000000
E02_event_001,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_001.csv,39.63958261,429.68000000,388.19081006,440.51337424,0.95541954,1.01450555,0.18539711,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.93958261
E02_event_002,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_002.csv,40.03661103,429.68000000,388.36016924,439.95240660,0.96894422,1.04115765,0.41854418,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.33661103
E02_event_003,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_003.csv,39.98937860,429.68000000,389.56677548,439.71159302,0.99691259,1.03433837,0.44253334,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.28937860
E02_event_004,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_004.csv,40.08294955,429.68000000,389.89545221,439.51329637,1.00750044,1.03058730,0.25814566,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.38294955
E02_event_005,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_005.csv,40.03581871,429.68000000,390.20597999,439.49450022,1.01423211,0.98848308,0.37038645,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.33581871
E02_event_006,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_006.csv,40.38409835,429.68000000,388.96680158,439.36418253,0.99191662,0.96001064,0.47926040,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.68409835
E02_event_007,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_007.csv,40.13971781,429.68000000,390.37042105,439.32656620,1.02111798,0.97155779,0.22747165,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.43971781
E02_event_008,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_008.csv,39.53379653,429.68000000,390.59977990,440.01623808,1.01160629,1.00667695,0.48036760,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.83379653
E02_event_009,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_009.csv,39.66275376,429.68000000,391.59307220,439.59693830,1.04137446,0.95066801,0.38998551,contiguous_correlated_residual_v2,2,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,39.96275376
E02_event_010,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_010.csv,39.84631686,429.68000000,389.12952562,440.00294063,0.98263504,0.98079833,0.48906341,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.14631686
E02_event_011,event,E02,202601211_yuan_55_haimalu_rr100_blowout.txt,samples/E02_event_011.csv,40.08052473,429.68000000,387.72723982,440.05236519,0.95537277,1.01914296,0.24412444,contiguous_correlated_residual_v2,0,1,RR,FL;RR,0.30000000,FL_blowout_signal;RR_blowout_signal,40.38052473
