time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s,FL_blowout_signal,RR_blowout_signal
0.00000000,39.03583579,39.07294241,38.61464395,38.85563177,0,0
0.01000000,39.09352867,39.08660943,38.62822414,38.85575401,0,0
0.02000000,39.04874081,39.07266630,38.70766668,38.84816776,0,0
0.03000000,39.03770308,39.07213689,38.77043941,38.89914898,0,0
0.04000000,39.13055571,39.16934444,38.81024075,38.94035071,0,0
0.05000000,39.20627009,39.27193030,38.90982092,38.98075673,0,0
0.06000000,39.23854919,39.23794737,38.95081720,39.07518659,0,0
0.07000000,39.22783389,39.24431904,38.91771590,39.12974572,0,0
0.08000000,39.33658620,39.24644586,38.91867204,39.16514403,0,0
0.09000000,39.39196114,39.33377300,38.95110463,39.16130869,0,0
0.10000000,39.45751516,39.39546531,39.06209906,39.22779173,0,0
0.11000000,39.42452313,39.45630095,39.14270429,39.29024853,0,0
0.12000000,39.44298819,39.37091387,39.17594083,39.26725292,0,0
0.13000000,39.46195192,39.43673848,39.18557503,39.29472952,0,0
0.14000000,39.53586005,39.50423242,39.10472108,39.32362616,0,0
0.15000000,39.52374026,39.62742362,39.23841975,39.34892830,0,0
0.16000000,39.59047786,39.61930569,39.25165892,39.43657729,0,0
0.17000000,39.68012418,39.65703990,39.24555984,39.44810378,0,0
0.18000000,39.71073974,39.69738894,39.31494459,39.48629922,0,0
0.19000000,39.66249976,39.69041933,39.32679499,39.51887987,0,0
0.20000000,39.75073930,39.75961219,39.39799801,39.52580051,0,0
0.21000000,39.77939584,39.84385042,39.41432831,39.54739012,0,0
0.22000000,39.88585341,39.88225196,39.57219338,39.62175775,0,0
0.23000000,39.84939515,39.83910923,39.50953426,39.71336207,0,0
0.24000000,39.90739789,39.90346630,39.51673812,39.80352146,0,0
0.25000000,39.94948977,39.93214410,39.57425471,39.72338353,0,0
0.26000000,40.02438855,40.01455398,39.60069690,39.81092556,0,0
0.27000000,40.01922216,40.01766635,39.70432228,39.87206902,0,0
0.28000000,40.07906880,40.04844691,39.73703262,39.89583576,0,0
0.29000000,40.12237298,39.98983416,39.69124733,39.83477780,0,0
0.30000000,40.15057285,40.11042491,39.71650975,39.89202896,0,0
0.31000000,40.09406012,40.15983009,39.78147007,39.87484887,0,0
0.32000000,40.15628077,40.25574128,39.86357434,39.93853308,0,0
0.33000000,40.21572678,40.21591525,39.86147478,40.07745775,0,0
0.34000000,40.27347003,40.30485531,39.96141816,40.07678814,0,0
0.35000000,40.21991842,40.23832018,40.02119570,40.10692107,0,0
0.36000000,40.34525860,40.33226093,40.05328847,40.15314609,0,0
0.37000000,40.40885875,40.40886965,40.00397290,40.10229750,0,0
0.38000000,40.48195749,40.47488600,40.14722167,40.22207120,0,0
0.39000000,40.35915281,40.45196323,40.17842817,40.28872173,0,0
0.40000000,40.41453535,40.42467254,40.03871987,40.34282003,0,0
0.41000000,40.51433533,40.49020899,40.13493928,40.31435915,0,0
0.42000000,40.59253284,40.49115845,40.09808831,40.34909429,0,0
0.43000000,40.62344960,40.57814175,40.28464068,40.44730881,0,0
0.44000000,40.64567609,40.60078285,40.29556215,40.44665880,0,0
0.45000000,40.68301945,40.59128109,40.30419159,40.40744871,0,0
0.46000000,40.68309837,40.69810902,40.28204325,40.46198141,0,0
0.47000000,40.73471755,40.73111526,40.33824109,40.45380729,0,0
0.48000000,40.75305967,40.76519653,40.38407695,40.55337232,0,0
0.49000000,40.87919707,40.77604958,40.38559699,40.64434041,0,0
0.50000000,40.85737750,40.82101158,40.47712109,40.67660661,0,0
0.51000000,40.81150789,40.85653032,40.52940334,40.62731914,0,0
0.52000000,40.83097878,40.87835633,40.61245188,40.69475863,0,0
0.53000000,40.94478377,40.98218265,40.65198316,40.69364249,0,0
0.54000000,40.94855762,41.02453868,40.71442859,40.73612158,0,0
0.55000000,41.03349602,41.01845103,40.72323579,40.82747571,0,0
0.56000000,41.10507289,41.00749151,40.65537656,40.88193907,0,0
0.57000000,41.19664029,41.06229431,40.70292137,40.86903972,0,0
0.58000000,41.14099462,41.10314378,40.73151876,40.93534147,0,0
0.59000000,41.14816463,41.15225352,40.89747880,41.01547112,0,0
0.60000000,41.17228080,41.16169363,40.99058618,41.04110742,0,0
0.61000000,41.23911071,41.12640954,41.00689644,41.01987034,0,0
0.62000000,41.28633476,41.21920568,41.03800829,41.09258660,0,0
0.63000000,41.33296432,41.32960974,41.01292774,41.11844967,0,0
0.64000000,41.39264687,41.38993074,41.00912739,41.17696754,0,0
0.65000000,41.50012523,41.41535180,41.01622418,41.24570039,0,0
0.66000000,41.43627024,41.44898592,41.08420828,41.18559098,0,0
0.67000000,41.47498929,41.51693973,41.12983821,41.20149443,0,0
0.68000000,41.56717481,41.57620671,41.15575709,41.25075659,0,0
