time_s,wheel0_corrected_rad_s,wheel1_corrected_rad_s,wheel2_corrected_rad_s,wheel3_corrected_rad_s,FL_blowout_signal,RR_blowout_signal
0.00000000,57.75283916,57.51248102,57.40447592,57.52968771,0,0
0.01000000,57.75917631,57.54382205,57.37597130,57.52618379,0,0
0.02000000,57.84418022,57.58424218,57.39807125,57.49693955,0,0
0.03000000,57.82326047,57.59354707,57.41566919,57.50011191,0,0
0.04000000,57.79325875,57.60276112,57.44194573,57.50185813,0,0
0.05000000,57.81202766,57.60067207,57.43936391,57.52990162,0,0
0.06000000,57.81067011,57.59069869,57.45214994,57.53874414,0,0
0.07000000,57.84992907,57.58983239,57.38078891,57.53133829,0,0
0.08000000,57.83690826,57.54282300,57.37842554,57.55175410,0,0
0.09000000,57.80700368,57.55806326,57.42620186,57.54503525,0,0
0.10000000,57.78947911,57.61737533,57.48913887,57.52268888,0,0
0.11000000,57.83058160,57.64116540,57.48940966,57.50790783,0,0
0.12000000,57.85124586,57.60077087,57.42475076,57.48575540,0,0
0.13000000,57.85838444,57.55079328,57.41354933,57.52114583,0,0
0.14000000,57.80331638,57.53663825,57.44133329,57.55346777,0,0
0.15000000,57.80969733,57.59922696,57.45380508,57.53465098,0,0
0.16000000,57.84380470,57.64478458,57.46707904,57.54399392,0,0
0.17000000,57.81235833,57.61459239,57.41482173,57.53714401,0,0
0.18000000,57.83736628,57.55602450,57.37716661,57.52305280,0,0
0.19000000,57.81444947,57.56188896,57.43350753,57.56977282,0,0
0.20000000,57.83627209,57.56003249,57.44875534,57.56421630,0,0
0.21000000,57.82938210,57.60306723,57.46822675,57.53317336,0,0
0.22000000,57.76090717,57.59400005,57.45737073,57.57295951,0,0
0.23000000,57.78369176,57.57492617,57.43312674,57.52218432,0,0
0.24000000,57.84773730,57.58038286,57.45286604,57.50817706,0,0
0.25000000,57.87340313,57.62413058,57.46409797,57.49363769,0,0
0.26000000,57.83909701,57.60446208,57.43826534,57.49946496,0,0
0.27000000,57.76541091,57.58159500,57.44956766,57.57303786,0,0
0.28000000,57.76909477,57.60269680,57.45624931,57.60074805,0,0
0.29000000,57.87425238,57.64565819,57.46940003,57.59591165,0,0
0.30000000,57.89042684,57.61705246,57.45134944,57.61342775,0,0
0.31000000,57.82406401,57.55315999,57.44777769,57.57271879,0,0
0.32000000,57.79583226,57.55725909,57.47455551,57.49825701,0,0
0.33000000,57.78185860,57.56318747,57.48779916,57.54538062,0,0
0.34000000,57.83319193,57.58755705,57.45427961,57.53494502,0,0
0.35000000,57.84082876,57.61176522,57.42816774,57.47622764,0,0
0.36000000,57.81637130,57.60587075,57.43517553,57.52488918,0,0
0.37000000,57.81913250,57.60124803,57.43187741,57.51454539,0,0
0.38000000,57.79790102,57.57389296,57.47145812,57.53823741,0,0
0.39000000,57.82770725,57.61795396,57.38829086,57.56298760,0,0
0.40000000,57.86466518,57.61075601,57.40145750,57.54764295,0,0
0.41000000,57.82588254,57.60084103,57.42726388,57.56137534,0,0
0.42000000,57.76062038,57.54161524,57.51794588,57.57714966,0,0
0.43000000,57.77144831,57.53509578,57.49589495,57.55220043,0,0
0.44000000,57.79847239,57.55014383,57.41858311,57.53390763,0,0
0.45000000,57.84458172,57.52776497,57.41837662,57.51483973,0,0
0.46000000,57.82013912,57.53072490,57.42138737,57.51013638,0,0
0.47000000,57.79632180,57.56282840,57.48041830,57.53107729,0,0
0.48000000,57.79899341,57.60212712,57.44739689,57.54871885,0,0
0.49000000,57.79502829,57.61711837,57.47145673,57.57004071,0,0
0.50000000,57.77402147,57.56662392,57.40825400,57.56308623,0,0
0.51000000,57.79974486,57.56395294,57.39723190,57.54354932,0,0
0.52000000,57.80531026,57.57540482,57.42929852,57.56986990,0,0
0.53000000,57.80785160,57.54973596,57.45534686,57.51258647,0,0
0.54000000,57.77521196,57.55379952,57.45507576,57.48792172,0,0
0.55000000,57.78473287,57.51847565,57.40521318,57.46044486,0,0
0.56000000,57.80360621,57.50402687,57.43926585,57.49978279,0,0
0.57000000,57.81824812,57.52142567,57.46885057,57.49929885,0,0
0.58000000,57.75323997,57.58527414,57.45596873,57.50693014,0,0
0.59000000,57.74809115,57.56078671,57.43571425,57.57497414,0,0
0.60000000,57.74337135,57.54641621,57.42307855,57.56686217,0,0
0.61000000,57.83957407,57.58409392,57.41302290,57.60553582,0,0
0.62000000,57.81094620,57.56454925,57.43081347,57.60551243,0,0
0.63000000,57.73361490,57.51203065,57.46818023,57.54453524,0,0
0.64000000,57.71986453,57.51421814,57.49179842,57.50106219,0,0
0.65000000,57.78494838,57.55788642,57.49178963,57.46367399,0,0
0.66000000,57.84560954,57.54425341,57.44943362,57.49092301,0,0
0.67000000,57.80861257,57.53610527,57.42366068,57.47110539,0,0
0.68000000,57.71266553,57.55030635,57.39882335,57.47556292,0,0
0.69000000,57.72005797,57.55217283,57.42408814,57.54373570,0,0
0.70000000,57.81252434,57.56400780,57.42790955,57.57131433,0,0
0.71000000,57.82171397,57.54089623,57.42603852,57.58076053,0,0
0.72000000,57.79095204,57.50452889,57.41647892,57.56802483,0,0
0.73000000,57.72475067,57.56329842,57.43276972,57.55883706,0,0
0.74000000,57.73855526,57.59601504,57.47541722,57.54132386,0,0
0.75000000,57.76724141,57.54994372,57.47171807,57.51308792,0,0
0.76000000,57.79901865,57.53771758,57.43413196,57.50047888,0,0
0.77000000,57.86004751,57.50824008,57.41033264,57.48080664,0,0
0.78000000,57.86091182,57.55811966,57.42817783,57.52566886,0,0
0.79000000,57.77205523,57.58513781,57.41101055,57.51270315,0,0
0.80000000,57.68553114,57.57306814,57.39459006,57.47323983,0,0
0.81000000,57.74969115,57.53202924,57.42141333,57.51173124,0,0
0.82000000,57.78694457,57.52398284,57.45889376,57.53436584,0,0
0.83000000,57.83986131,57.55813303,57.42766223,57.52182738,0,0
0.84000000,57.77983078,57.58397552,57.38800231,57.52651856,0,0
0.85000000,57.76305737,57.55330244,57.38701233,57.53925744,0,0
0.86000000,57.76232454,57.52980399,57.42627955,57.49002199,0,0
0.87000000,57.79921602,57.52679396,57.46532674,57.48330827,0,0
0.88000000,57.77804494,57.54930750,57.45625888,57.51609264,0,0
0.89000000,57.80059677,57.53899288,57.42463952,57.46602626,0,0
0.90000000,57.78397244,57.57965951,57.36169549,57.48804024,0,0
0.91000000,57.84232442,57.58330055,57.34877410,57.51465808,0,0
0.92000000,57.82085562,57.58549115,57.35801992,57.50176889,0,0
0.93000000,57.77320001,57.57157883,57.40688158,57.53141075,0,0
0.94000000,57.80977746,57.60213531,57.44453142,57.53756553,0,0
0.95000000,57.80757456,57.59466320,57.46612846,57.57990378,0,0
0.96000000,57.81769959,57.51326162,57.45351557,57.56121946,0,0
0.97000000,57.81360133,57.54652828,57.41766854,57.51180800,0,0
0.98000000,57.82391436,57.56126200,57.43948610,57.49040124,0,0
0.99000000,57.79887945,57.56681279,57.43074612,57.51596690,0,0
1.00000000,57.76251629,57.57317393,57.44122864,57.49920713,0,0
1.01000000,57.76899751,57.55720794,57.44543040,57.48454700,0,0
1.02000000,57.84022127,57.57786988,57.41002946,57.49020894,0,0
1.03000000,57.83224498,57.59301499,57.40430562,57.49869669,0,0
1.04000000,57.82204178,57.62743282,57.41233418,57.51355525,0,0
1.05000000,57.81199867,57.55296160,57.35847968,57.53162058,0,0
1.06000000,57.75582294,57.52734816,57.38834113,57.53661412,0,0
1.07000000,57.78480073,57.49495502,57.40609741,57.49533077,0,0
1.08000000,57.80593977,57.50239728,57.43074503,57.47184618,0,0
1.09000000,57.78793939,57.56371037,57.40182552,57.45702249,0,0
1.10000000,57.83964551,57.54933305,57.38151163,57.44274608,0,0
1.11000000,57.77012179,57.57238634,57.40865888,57.47639845,0,0
1.12000000,57.79014561,57.56380928,57.42808941,57.50568970,0,0
1.13000000,57.84197413,57.54437435,57.44472153,57.51365279,0,0
1.14000000,57.81636667,57.52099624,57.48329776,57.57251689,0,0
1.15000000,57.84239626,57.54849806,57.50897010,57.58000887,0,0
1.16000000,57.80957359,57.54495908,57.43174762,57.51866211,0,0
1.17000000,57.77475488,57.55551364,57.41884887,57.57828567,0,0
1.18000000,57.76667477,57.51371893,57.45558525,57.49724345,0,0
1.19000000,57.82862421,57.55681061,57.51490027,57.47784661,0,0
1.20000000,57.82209773,57.54609303,57.46565260,57.50562171,0,0
1.21000000,57.87877740,57.53373113,57.48262830,57.52949958,0,0
1.22000000,57.81324732,57.56615808,57.46717835,57.51483553,0,0
1.23000000,57.81635964,57.55942672,57.44430281,57.47592063,0,0
1.24000000,57.78172766,57.53689576,57.43020601,57.48416431,0,0
1.25000000,57.82002765,57.56940841,57.46983309,57.47484670,0,0
1.26000000,57.87629399,57.56119515,57.45677434,57.49910924,0,0
1.27000000,57.92322525,57.57951009,57.45476350,57.55191669,0,0
1.28000000,57.83321901,57.55808662,57.42169560,57.54997708,0,0
1.29000000,57.87789304,57.57056447,57.43484277,57.52731038,0,0
1.30000000,57.79686953,57.54158290,57.48523084,57.52418567,0,0
1.31000000,57.84990836,57.53676591,57.50843516,57.51145771,0,0
1.32000000,57.88980748,57.53566188,57.46993395,57.51526327,0,0
1.33000000,57.84060402,57.56897980,57.49757002,57.47941624,0,0
1.34000000,57.83620821,57.60608676,57.39908265,57.46108824,0,0
1.35000000,57.79633607,57.55910746,57.44243029,57.47900075,0,0
1.36000000,57.79137062,57.53478230,57.46788046,57.50055836,0,0
1.37000000,57.86249477,57.52534045,57.46413801,57.52174610,0,0
1.38000000,57.82796302,57.57324513,57.44582883,57.51395608,0,0
1.39000000,57.82667064,57.58577488,57.47449134,57.56709806,0,0
1.40000000,57.82026063,57.56332189,57.42043432,57.48828204,0,0
1.41000000,57.84597866,57.54964170,57.42412720,57.43451712,0,0
1.42000000,57.82723800,57.48865076,57.41548025,57.46172243,0,0
1.43000000,57.80178608,57.51289780,57.42598824,57.44569168,0,0
1.44000000,57.79417749,57.56746285,57.44637467,57.45225360,0,0
1.45000000,57.80045637,57.59410672,57.43638536,57.47783268,0,0
1.46000000,57.80546257,57.50581108,57.44570203,57.54463913,0,0
1.47000000,57.75839745,57.50002002,57.46018115,57.53851682,0,0
1.48000000,57.86270361,57.52843567,57.42376074,57.55111220,0,0
1.49000000,57.81452862,57.57778056,57.47173164,57.59298386,0,0
1.50000000,57.78317555,57.51452379,57.46329671,57.56468426,0,0
1.51000000,57.78903111,57.50457417,57.51166945,57.53997042,0,0
1.52000000,57.79189479,57.53034621,57.48479586,57.51770462,0,0
1.53000000,57.87069439,57.58360951,57.43895257,57.46088770,0,0
1.54000000,57.81781324,57.56136527,57.41982779,57.48881235,0,0
1.55000000,57.76363895,57.54109068,57.43243678,57.47222464,0,0
1.56000000,57.77430498,57.51563411,57.43631916,57.49899953,0,0
1.57000000,57.84985068,57.58917220,57.48641180,57.57227761,0,0
1.58000000,57.85609132,57.59738577,57.52507606,57.54762978,0,0
1.59000000,57.88587637,57.54814334,57.43489797,57.54064718,0,0
1.60000000,57.81616554,57.56125312,57.46183152,57.56777307,0,0
1.61000000,57.81471514,57.51959130,57.51990660,57.57382122,0,0
1.62000000,57.79511246,57.52751301,57.53305220,57.50519333,0,0
1.63000000,57.85663748,57.54502977,57.46501805,57.48489000,0,0
1.64000000,57.83733294,57.54632925,57.42606436,57.47965976,0,0
1.65000000,57.78724716,57.57049422,57.47036612,57.50762730,0,0
1.66000000,57.77513045,57.57610404,57.47168888,57.48030895,0,0
1.67000000,57.83526583,57.57765905,57.44754674,57.48047566,0,0
1.68000000,57.84620091,57.54233620,57.47734315,57.51964662,0,0
1.69000000,57.87395662,57.57629298,57.50965912,57.54031428,0,0
1.70000000,57.87014498,57.59415040,57.43562192,57.55916402,0,0
1.71000000,57.83352566,57.58264787,57.44373170,57.55010903,0,0
1.72000000,57.86997124,57.57134256,57.44422341,57.56415483,0,0
1.73000000,57.91308993,57.56021646,57.45455743,57.48979308,0,0
1.74000000,57.89218159,57.58166482,57.44839638,57.51236308,0,0
1.75000000,57.86870467,57.56946031,57.43935135,57.54285042,0,0
1.76000000,57.80537414,57.60207533,57.48961310,57.49675207,0,0
1.77000000,57.89504641,57.58851885,57.51912882,57.51993935,0,0
1.78000000,57.88395061,57.58213740,57.47021410,57.51325284,0,0
1.79000000,57.86926256,57.56302792,57.50706935,57.52029294,0,0
1.80000000,57.86684208,57.59862304,57.58183982,57.52374972,0,0
1.81000000,57.84701173,57.58954592,57.45070221,57.55152048,0,0
1.82000000,57.83280263,57.57044136,57.44592203,57.54130337,0,0
1.83000000,57.82850520,57.50666767,57.45172199,57.51253012,0,0
1.84000000,57.82263228,57.50375226,57.46560276,57.51246043,0,0
1.85000000,57.82345173,57.54823118,57.48242422,57.48774971,0,0
1.86000000,57.89261629,57.56246597,57.44095419,57.47124696,0,0
1.87000000,57.84616973,57.56653825,57.46157843,57.50040806,0,0
1.88000000,57.84682813,57.57959199,57.43953754,57.44436084,0,0
1.89000000,57.83015890,57.57368304,57.44715053,57.49703417,0,0
1.90000000,57.75016721,57.54731189,57.52207189,57.56437889,0,0
1.91000000,57.88718675,57.62527659,57.53017955,57.57688249,0,0
1.92000000,57.83241726,57.56056695,57.49268666,57.58738206,0,0
1.93000000,57.87683299,57.55328050,57.47031391,57.60975130,0,0
1.94000000,57.84578783,57.47522207,57.53129684,57.54704094,0,0
1.95000000,57.86885919,57.57983065,57.57683100,57.55037046,0,0
1.96000000,57.83665573,57.61896157,57.57650273,57.55307969,0,0
1.97000000,57.89315651,57.60970660,57.52544706,57.54229831,0,0
1.98000000,57.78098537,57.49556732,57.58071822,57.56363680,0,0
1.99000000,57.89472325,57.58719408,57.50237048,57.55739496,0,0
2.00000000,57.87652733,57.57325656,57.50530019,57.59925402,0,0
2.01000000,57.91656232,57.70423403,57.52148591,57.60663439,0,0
2.02000000,57.86100974,57.60775032,57.49091730,57.55283893,0,0
2.03000000,57.84687370,57.57637566,57.50277288,57.55234005,0,0
2.04000000,57.93756813,57.58383950,57.53368364,57.54888106,0,0
2.05000000,57.93578406,57.58864432,57.49661485,57.50042957,0,0
2.06000000,57.85984680,57.65095922,57.51448987,57.55325110,0,0
2.07000000,57.85172209,57.63518815,57.44227263,57.47961348,0,0
2.08000000,57.90992620,57.60151103,57.48350923,57.56075516,0,0
2.09000000,57.88653048,57.60906492,57.51745176,57.51843060,0,0
2.10000000,57.91745063,57.60603321,57.46255039,57.49703235,0,0
2.11000000,57.84741925,57.60963647,57.52324788,57.54502539,0,0
2.12000000,57.87791552,57.62989297,57.54435882,57.55828298,0,0
2.13000000,57.91067198,57.61732215,57.48487042,57.59780822,0,0
2.14000000,57.92455140,57.65854002,57.53147558,57.67427273,0,0
2.15000000,57.91799256,57.64498912,57.48384592,57.56124075,0,0
2.16000000,57.86837489,57.56709327,57.53483804,57.57606377,0,0
2.17000000,57.86685476,57.61904713,57.51784740,57.54752649,0,0
