sample_id,sample_type,source_event_id,classification,classification_label,delay_s,alarm_wheels,detection_wheels,false_alarm_wheels,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_events
E01_event_000,event,E01,EVENT_OK,及时检出,0.13000000000000256,RR,RR,,False,False,1
E01_event_001,event,E01,EVENT_OK,及时检出,0.13309808000000345,RR,RR,,False,False,1
E01_event_002,event,E01,EVENT_OK,及时检出,0.1368839200000025,RR,RR,,False,False,1
E01_event_003,event,E01,EVENT_OK,及时检出,0.13002931999999845,RR,RR,,False,False,1
E01_event_004,event,E01,EVENT_OK,及时检出,0.12576685999999881,RR,RR,,False,False,1
E01_event_005,event,E01,EVENT_OK,及时检出,0.14202697000000342,RR,RR,,False,False,1
E01_event_006,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.13747071999999605,"FL,RL,RR",RR,"FL,RL,RR",True,True,10
E01_event_007,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.14192318999999998,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,6
E01_event_008,event,E01,EVENT_OK,及时检出,0.1312246700000017,RR,RR,,False,False,1
E01_event_009,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.14099181000000272,"FL,RR",RR,FL,True,True,2
E01_event_010,event,E01,EVENT_OK,及时检出,0.13296231000000347,RR,RR,,False,False,1
E01_event_011,event,E01,EVENT_OK,及时检出,0.13530156000000204,RR,RR,,False,False,1
E01_event_012,event,E01,EVENT_OK,及时检出,0.13016247000000192,RR,RR,,False,False,1
E01_event_013,event,E01,EVENT_OK,及时检出,0.14537316999999916,RR,RR,,False,False,1
E01_event_014,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.13237033000000054,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,9
E01_event_015,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.1375083100000012,"FR,RR",RR,"FR,RR",True,True,3
E01_event_016,event,E01,EVENT_OK,及时检出,0.13209923000000146,RR,RR,,False,False,1
E01_event_017,event,E01,EVENT_OK,及时检出,0.12816787999999946,RR,RR,,False,False,1
E01_event_018,event,E01,EVENT_OK,及时检出,0.1406910400000001,RR,RR,,False,False,1
E01_event_019,event,E01,EVENT_OK,及时检出,0.13557912999999644,RR,RR,,False,False,1
E01_event_020,event,E01,EVENT_OK,及时检出,0.13650550999999922,RR,RR,,False,False,1
E01_event_021,event,E01,EVENT_OK,及时检出,0.12921645000000126,RR,RR,,False,False,1
E01_event_022,event,E01,EVENT_OK,及时检出,0.13093794000000258,RR,RR,,False,False,1
E01_event_023,event,E01,EVENT_OK,及时检出,0.13968310000000628,RR,RR,,False,False,1
E01_event_024,event,E01,EVENT_OK,及时检出,0.13356117000000012,RR,RR,,False,False,1
E01_event_025,event,E01,EVENT_OK,及时检出,0.13916103999999763,RR,RR,,False,False,1
E01_event_026,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.14128648999999882,RR,RR,RR,True,False,2
E01_event_027,event,E01,EVENT_OK,及时检出,0.1324609699999968,RR,RR,,False,False,1
E01_event_028,event,E01,EVENT_OK,及时检出,0.12967741000000643,RR,RR,,False,False,1
E01_event_029,event,E01,EVENT_OK,及时检出,0.12902053999999907,RR,RR,,False,False,1
E01_event_030,event,E01,EVENT_OK,及时检出,0.1408766500000027,RR,RR,,False,False,1
E01_event_031,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.13889222000000245,RR,RR,RR,True,False,3
E01_event_032,event,E01,EVENT_OK,及时检出,0.12926694000000083,RR,RR,,False,False,1
E01_event_033,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.13981943999999658,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,15
E01_event_034,event,E01,EVENT_OK,及时检出,0.1327969600000003,RR,RR,,False,False,1
E01_event_035,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.1442053100000038,"RL,RR",RR,"RL,RR",True,True,6
E01_event_036,event,E01,EVENT_OK,及时检出,0.13317819000000242,RR,RR,,False,False,1
E01_event_037,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.14557691999999633,"FR,RR",RR,"FR,RR",True,True,3
