sample_id,sample_type,source_event_id,classification,classification_label,delay_s,alarm_wheels,detection_wheels,false_alarm_wheels,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_events
E01_event_000,event,E01,EVENT_OK,及时检出,0.13000000000000256,RR,RR,,False,False,1
E01_event_001,event,E01,EVENT_OK,及时检出,0.14309808000000146,RR,RR,,False,False,1
E01_event_002,event,E01,EVENT_OK,及时检出,0.1368839200000025,RR,RR,,False,False,1
E01_event_003,event,E01,EVENT_OK,及时检出,0.14002931999999646,RR,RR,,False,False,1
E01_event_004,event,E01,EVENT_OK,及时检出,0.13576685999999683,RR,RR,,False,False,1
E01_event_005,event,E01,EVENT_OK,及时检出,0.1320269699999983,RR,RR,,False,False,1
E01_event_006,event,E01,EVENT_OK,及时检出,0.13747071999999605,RR,RR,,False,False,1
E01_event_007,event,E01,EVENT_OK,及时检出,0.13192319000000197,RR,RR,,False,False,1
E01_event_008,event,E01,EVENT_OK,及时检出,0.14122466999999972,RR,RR,,False,False,1
E01_event_009,event,E01,EVENT_OK,及时检出,0.1309918099999976,RR,RR,,False,False,1
E01_event_010,event,E01,EVENT_OK,及时检出,0.14296231000000148,RR,RR,,False,False,1
E01_event_011,event,E01,EVENT_OK,及时检出,0.13530156000000204,RR,RR,,False,False,1
E01_event_012,event,E01,EVENT_OK,及时检出,0.14016246999999993,RR,RR,,False,False,1
E01_event_013,event,E01,EVENT_OK,及时检出,0.13537317000000115,RR,RR,,False,False,1
E01_event_014,event,E01,EVENT_OK,及时检出,0.13237033000000054,RR,RR,,False,False,1
E01_event_015,event,E01,EVENT_OK,及时检出,0.12750831000000318,RR,RR,,False,False,1
E01_event_016,event,E01,EVENT_OK,及时检出,0.14209922999999947,RR,RR,,False,False,1
E01_event_017,event,E01,EVENT_OK,及时检出,0.12816787999999946,RR,RR,,False,False,1
E01_event_018,event,E01,EVENT_OK,及时检出,0.1406910400000001,RR,RR,,False,False,1
E01_event_019,event,E01,EVENT_OK,及时检出,0.13557912999999644,RR,RR,,False,False,1
E01_event_020,event,E01,EVENT_OK,及时检出,0.13650550999999922,RR,RR,,False,False,1
E01_event_021,event,E01,EVENT_OK,及时检出,0.12921645000000126,RR,RR,,False,False,1
E01_event_022,event,E01,EVENT_OK,及时检出,0.1409379400000006,RR,RR,,False,False,1
E01_event_023,event,E01,EVENT_OK,及时检出,0.13968310000000628,RR,RR,,False,False,1
E01_event_024,event,E01,EVENT_OK,及时检出,0.13356117000000012,RR,RR,,False,False,1
E01_event_025,event,E01,EVENT_OK,及时检出,0.12916103999999962,RR,RR,,False,False,1
E01_event_026,event,E01,EVENT_OK,及时检出,0.14128648999999882,RR,RR,,False,False,1
