sample_id,sample_type,source_event_id,classification,classification_label,delay_s,alarm_wheels,detection_wheels,false_alarm_wheels,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_events
E01_event_000,event,E01,EVENT_OK,及时检出,0.13000000000000256,RR,RR,,False,False,1
E01_event_001,event,E01,EVENT_OK,及时检出,0.13309808000000345,RR,RR,,False,False,1
E01_event_002,event,E01,EVENT_OK,及时检出,0.12688391999999737,RR,RR,,False,False,1
E01_event_003,event,E01,EVENT_OK,及时检出,0.13002931999999845,RR,RR,,False,False,1
E01_event_004,event,E01,EVENT_OK,及时检出,0.13576685999999683,RR,RR,,False,False,1
E01_event_005,event,E01,EVENT_OK,及时检出,0.12202697000000029,RR,RR,,False,False,1
E01_event_006,event,E01,EVENT_OK,及时检出,0.12747071999999804,RR,RR,,False,False,1
E01_event_007,event,E01,EVENT_OK,及时检出,0.13192319000000197,RR,RR,,False,False,1
E01_event_008,event,E01,EVENT_OK,及时检出,0.1312246700000017,RR,RR,,False,False,1
E01_event_009,event,E01,EVENT_OK,及时检出,0.1309918099999976,RR,RR,,False,False,1
E01_event_010,event,E01,EVENT_OK,及时检出,0.13296231000000347,RR,RR,,False,False,1
E01_event_011,event,E01,EVENT_OK,及时检出,0.12530155999999693,RR,RR,,False,False,1
E01_event_012,event,E01,EVENT_OK,及时检出,0.13016247000000192,RR,RR,,False,False,1
E01_event_013,event,E01,EVENT_OK,及时检出,0.12537316999999604,RR,RR,,False,False,1
E01_event_014,event,E01,EVENT_OK,及时检出,0.12237033000000253,RR,RR,,False,False,1
E01_event_015,event,E01,EVENT_OK,及时检出,0.12750831000000318,RR,RR,,False,False,1
E01_event_016,event,E01,EVENT_OK,及时检出,0.13209923000000146,RR,RR,,False,False,1
E01_event_017,event,E01,EVENT_OK,及时检出,0.12816787999999946,RR,RR,,False,False,1
E01_event_018,event,E01,EVENT_OK,及时检出,0.1306910400000021,RR,RR,,False,False,1
E01_event_019,event,E01,EVENT_OK,及时检出,0.12557912999999843,RR,RR,,False,False,1
E01_event_020,event,E01,EVENT_OK,及时检出,0.1265055100000012,RR,RR,,False,False,1
E01_event_021,event,E01,EVENT_OK,及时检出,0.12921645000000126,RR,RR,,False,False,1
E01_event_022,event,E01,EVENT_OK,及时检出,0.13093794000000258,RR,RR,,False,False,1
E01_event_023,event,E01,EVENT_OK,及时检出,0.12968310000000116,RR,RR,,False,False,1
E01_event_024,event,E01,EVENT_OK,及时检出,0.13356117000000012,RR,RR,,False,False,1
E01_event_025,event,E01,EVENT_OK,及时检出,0.12916103999999962,RR,RR,,False,False,1
E01_event_026,event,E01,EVENT_OK,及时检出,0.1312864900000008,RR,RR,,False,False,1
E01_event_027,event,E01,EVENT_OK,及时检出,0.1324609699999968,RR,RR,,False,False,1
E01_event_028,event,E01,EVENT_OK,及时检出,0.12967741000000643,RR,RR,,False,False,1
E01_event_029,event,E01,EVENT_OK,及时检出,0.12902053999999907,RR,RR,,False,False,1
E01_event_030,event,E01,EVENT_OK,及时检出,0.1308766499999976,RR,RR,,False,False,1
E01_event_031,event,E01,EVENT_OK,及时检出,0.12889221999999734,RR,RR,,False,False,1
E01_event_032,event,E01,EVENT_OK,及时检出,0.12926694000000083,RR,RR,,False,False,1
E01_event_033,event,E01,EVENT_OK,及时检出,0.12981943999999856,RR,RR,,False,False,1
E01_event_034,event,E01,EVENT_OK,及时检出,0.1327969600000003,RR,RR,,False,False,1
E01_event_035,event,E01,EVENT_OK,及时检出,0.12420531000000068,RR,RR,,False,False,1
E01_event_036,event,E01,EVENT_OK,及时检出,0.1231781899999973,RR,RR,,False,False,1
E01_event_037,event,E01,EVENT_OK,及时检出,0.1255769200000003,RR,RR,,False,False,1
E01_event_038,event,E01,EVENT_OK,及时检出,0.13475221000000204,RR,RR,,False,False,1
E01_event_039,event,E01,EVENT_OK,及时检出,0.12811267000000015,RR,RR,,False,False,1
E01_event_040,event,E01,EVENT_OK,及时检出,0.12503629999999788,RR,RR,,False,False,1
E01_event_041,event,E01,EVENT_OK,及时检出,0.12417603000000099,RR,RR,,False,False,1
E01_event_042,event,E01,EVENT_OK,及时检出,0.13224698999999873,RR,RR,,False,False,1
E01_event_043,event,E01,EVENT_OK,及时检出,0.13474813000000552,RR,RR,,False,False,1
