sample_id,sample_type,source_event_id,classification,classification_label,delay_s,alarm_wheels,detection_wheels,false_alarm_wheels,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_events
E01_event_000,event,E01,EVENT_OK,及时检出,0.13000000000000256,RR,RR,,False,False,1
E01_event_001,event,E01,EVENT_OK,及时检出,0.14309808000000146,RR,RR,,False,False,1
E01_event_002,event,E01,EVENT_OK,及时检出,0.1368839200000025,RR,RR,,False,False,1
E01_event_003,event,E01,EVENT_OK,及时检出,0.14002931999999646,RR,RR,,False,False,1
E01_event_004,event,E01,EVENT_OK,及时检出,0.13576685999999683,RR,RR,,False,False,1
E01_event_005,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.14202697000000342,"RL,RR",RR,RL,True,True,2
E01_event_006,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.13747071999999605,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,38
E01_event_007,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.13192319000000197,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,24
E01_event_008,event,E01,EVENT_OK,及时检出,0.1312246700000017,RR,RR,,False,False,1
E01_event_009,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.1309918099999976,"FL,RL,RR",RR,"FL,RL",True,True,5
E01_event_010,event,E01,EVENT_OK,及时检出,0.13296231000000347,RR,RR,,False,False,1
E01_event_011,event,E01,EVENT_OK,及时检出,0.13530156000000204,RR,RR,,False,False,1
E01_event_012,event,E01,EVENT_OK,及时检出,0.14016246999999993,RR,RR,,False,False,1
E01_event_013,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.13537317000000115,"FL,RL,RR",RR,"FL,RL,RR",True,True,7
E01_event_014,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.12237033000000253,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,42
E01_event_015,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.12750831000000318,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,6
E01_event_016,event,E01,EVENT_OK,及时检出,0.14209922999999947,RR,RR,,False,False,1
E01_event_017,event,E01,EVENT_OK,及时检出,0.12816787999999946,RR,RR,,False,False,1
E01_event_018,event,E01,EVENT_OK,及时检出,0.1406910400000001,RR,RR,,False,False,1
E01_event_019,event,E01,EVENT_OK,及时检出,0.13557912999999644,RR,RR,,False,False,1
E01_event_020,event,E01,EVENT_OK,及时检出,0.13650550999999922,RR,RR,,False,False,1
E01_event_021,event,E01,EVENT_OK,及时检出,0.13921644999999927,RR,RR,,False,False,1
