wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,214907,53.34851276,54.71022900,0.50184956,0.43193033,1.10067119,raw_reference
1,215056,53.27413625,54.63829444,0.49082860,0.46054878,1.14089462,raw_reference
2,214875,53.28139525,54.64171560,0.49809248,0.65972216,1.18455017,raw_reference
3,215009,53.20939721,54.58133802,0.42986518,0.42217201,1.12243069,raw_reference
0,214907,53.34851143,54.70891877,0.50130220,0.43178228,1.10605704,phase_corrected
1,215056,53.27413332,54.63386218,0.48982364,0.46257078,1.14399804,phase_corrected
2,214875,53.28137101,54.63583551,0.49295664,0.67671137,1.22130310,phase_corrected
3,215009,53.20940536,54.57716330,0.42836547,0.42505144,1.12269252,phase_corrected
0,214907,53.37014448,54.72395230,0.98659288,0.65457080,1.22625457,reference_compensation_on
1,215056,53.03319196,54.47344732,1.70503047,2.63380682,3.11181554,reference_compensation_on
2,214875,53.02503575,54.46211521,1.78183394,3.17149913,3.69643056,reference_compensation_on
3,215009,53.22855205,54.59841247,0.95592753,0.57518447,1.18865842,reference_compensation_on
0,214907,53.32584488,54.67823471,0.99286275,0.65768618,1.23201480,reference_plus_or_diagnostic
1,215056,53.51119911,54.93639446,1.67382167,2.57667873,3.02661697,reference_plus_or_diagnostic
2,214875,53.53389485,54.94792482,1.74740792,3.11850312,3.53933875,reference_plus_or_diagnostic
3,215009,53.18957814,54.55290431,0.92954791,0.57230670,1.19898813,reference_plus_or_diagnostic
