wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,106157,48.38568058,51.39872147,0.35101733,0.38074107,1.05348474,raw_reference
1,106280,48.31251861,51.35335186,0.37621547,0.41835375,1.10584873,raw_reference
2,106105,48.32840880,51.31309051,0.40862299,0.61678305,1.04803924,raw_reference
3,106240,48.24725433,51.25281672,0.34711145,0.34792568,0.93942003,raw_reference
0,106157,48.38568541,51.39912939,0.34822210,0.37478447,1.04003032,phase_corrected
1,106280,48.31252145,51.35485946,0.36703635,0.40150868,1.10546215,phase_corrected
2,106105,48.32840310,51.31962179,0.39468107,0.54133493,1.03219631,phase_corrected
3,106240,48.24725246,51.25421886,0.34427816,0.34007441,0.93934138,phase_corrected
0,106157,48.38583732,51.39872147,0.39543369,0.50163600,1.16806946,reference_compensation_on
1,106280,48.31757660,51.36342707,1.23783857,0.63566334,1.30638571,reference_compensation_on
2,106105,48.25029034,51.24278485,1.39995621,1.28359229,1.97169999,reference_compensation_on
3,106240,48.19051065,51.19769000,1.28057672,0.84171754,1.30670984,reference_compensation_on
0,106157,48.38531255,51.39367644,0.39288750,0.49977736,1.11824811,reference_plus_or_diagnostic
1,106280,48.30708438,51.33824646,1.18261369,0.64025822,1.25908610,reference_plus_or_diagnostic
2,106105,48.40482796,51.39367644,1.32433494,1.31928557,1.96991148,reference_plus_or_diagnostic
3,106240,48.30332214,51.31309051,1.21424120,0.83916901,1.27010519,reference_plus_or_diagnostic
