phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,1.00075513,0.07551344,0.99880447,-0.11955272,0.99616019,-0.38398144,1.00107427,0.10742674
1,1.00076551,0.07655083,0.99827524,-0.17247649,0.99260138,-0.73986224,1.00090987,0.09098704
2,1.00042956,0.04295556,0.99825862,-0.17413775,0.99140467,-0.85953326,1.00176325,0.17632453
3,0.99994074,-0.00592563,0.99804112,-0.19588777,0.99406510,-0.59348989,1.00174809,0.17480938
4,0.99981684,-0.01831628,0.99936008,-0.06399176,0.99672153,-0.32784678,1.00008267,0.00826748
5,0.99968634,-0.03136650,0.99966825,-0.03317471,0.99844210,-0.15579024,0.99984904,-0.01509583
6,0.99965248,-0.03475189,0.99997243,-0.00275667,0.99968342,-0.03165776,0.99975421,-0.02457927
7,0.99986102,-0.01389798,0.99972446,-0.02755435,1.00021145,0.02114469,0.99987729,-0.01227085
8,0.99990313,-0.00968663,0.99953653,-0.04634701,1.00050414,0.05041385,0.99995255,-0.00474512
9,0.99943012,-0.05698826,0.99974744,-0.02525582,1.00016861,0.01686124,0.99997316,-0.00268426
10,0.99905076,-0.09492413,0.99950139,-0.04986090,0.99957365,-0.04263524,0.99979880,-0.02012048
11,0.99907580,-0.09241996,0.99993655,-0.00634518,0.99826428,-0.17357182,0.99980679,-0.01932125
12,0.99905067,-0.09493274,0.99955525,-0.04447473,0.99791820,-0.20818039,0.99929146,-0.07085387
13,0.99890047,-0.10995343,0.99975898,-0.02410241,0.99827664,-0.17233610,0.99829694,-0.17030584
14,0.99899361,-0.10063923,0.99962482,-0.03751752,0.99858002,-0.14199802,0.99758875,-0.24112504
15,0.99912810,-0.08719024,0.99987937,-0.01206316,0.99880297,-0.11970347,0.99798621,-0.20137907
16,0.99968120,-0.03187999,0.99995601,-0.00439909,0.99942591,-0.05740912,0.99892805,-0.10719516
17,1.00004837,0.00483726,1.00009088,0.00908824,1.00004173,0.00417268,0.99957803,-0.04219720
18,0.99979609,-0.02039076,1.00027065,0.02706479,1.00055163,0.05516329,0.99984241,-0.01575907
19,0.99981035,-0.01896450,1.00014997,0.01499680,1.00073309,0.07330869,0.99967017,-0.03298286
20,1.00008740,0.00874005,1.00097845,0.09784545,1.00102622,0.10262184,0.99902025,-0.09797546
21,1.00008753,0.00875294,1.00203665,0.20366536,1.00118843,0.11884334,0.99893094,-0.10690628
22,1.00011411,0.01141072,1.00092183,0.09218316,1.00204720,0.20472047,0.99941036,-0.05896433
23,1.00046791,0.04679130,1.00207847,0.20784719,1.00240004,0.24000425,0.99984808,-0.01519200
24,1.00028985,0.02898473,1.00176517,0.17651662,1.00212244,0.21224418,0.99976790,-0.02321042
25,1.00021989,0.02198880,1.00182526,0.18252576,1.00150853,0.15085266,0.99966110,-0.03389047
26,0.99998873,-0.00112743,1.00100870,0.10086979,1.00127559,0.12755885,0.99940609,-0.05939075
27,0.99957445,-0.04255538,1.00171681,0.17168067,1.00084924,0.08492386,0.99976175,-0.02382473
28,0.99972781,-0.02721946,1.00144980,0.14497986,1.00164343,0.16434272,0.99961233,-0.03876701
29,1.00007805,0.00780505,1.00198185,0.19818514,1.00254107,0.25410701,0.99966429,-0.03357144
30,1.00011465,0.01146450,1.00112246,0.11224577,1.00241798,0.24179826,0.99988753,-0.01124712
31,1.00015367,0.01536749,1.00081028,0.08102831,1.00235415,0.23541541,0.99989613,-0.01038655
32,1.00080473,0.08047253,1.00057156,0.05715617,1.00189455,0.18945548,0.99966083,-0.03391689
33,1.00126655,0.12665513,0.99978364,-0.02163575,1.00050101,0.05010127,1.00041885,0.04188532
34,1.00133494,0.13349407,1.00014640,0.01464021,0.99987706,-0.01229434,1.00071673,0.07167349
35,1.00111160,0.11115975,0.99988473,-0.01152739,0.99962171,-0.03782888,1.00042282,0.04228235
36,1.00211835,0.21183473,1.00064007,0.06400690,0.99865742,-0.13425825,1.00010274,0.01027412
37,1.00070011,0.07001126,1.00003733,0.00373283,0.99933555,-0.06644505,1.00000119,0.00011934
38,0.99969382,-0.03061810,0.99983265,-0.01673533,1.00048544,0.04854421,0.99998518,-0.00148235
39,1.00083452,0.08345227,0.99952409,-0.04759137,1.00039031,0.03903108,1.00014243,0.01424331
40,1.00060885,0.06088462,0.99890860,-0.10913951,0.99953945,-0.04605504,1.00001852,0.00185207
41,0.99953877,-0.04612292,0.99920354,-0.07964590,0.99955697,-0.04430298,0.99986225,-0.01377491
42,0.99913682,-0.08631821,0.99878488,-0.12151162,1.00099760,0.09976011,1.00035032,0.03503208
43,0.99894475,-0.10552481,0.99950409,-0.04959089,1.00383843,0.38384288,1.00108554,0.10855353
44,0.99923831,-0.07616876,0.99907964,-0.09203639,1.00514139,0.51413933,1.00168072,0.16807211
45,0.99974865,-0.02513514,0.99881015,-0.11898545,1.00468056,0.46805580,1.00176971,0.17697113
46,1.00004833,0.00483345,0.99886679,-0.11332102,1.00240490,0.24049045,1.00168567,0.16856698
47,1.00019058,0.01905787,0.99861360,-0.13864034,0.99957262,-0.04273759,1.00145775,0.14577486
