phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,1.00010785,0.01078500,1.00160235,0.16023474,1.00361072,0.36107169,1.00119916,0.11991552
1,1.00073782,0.07378185,1.00132702,0.13270222,1.00125751,0.12575117,1.00159733,0.15973280
2,1.00052525,0.05252493,1.00180054,0.18005404,0.99765466,-0.23453381,1.00170991,0.17099076
3,1.00013032,0.01303227,1.00183162,0.18316174,0.99431719,-0.56828134,1.00156214,0.15621446
4,1.00002916,0.00291602,1.00186637,0.18663726,0.99150720,-0.84927983,1.00129322,0.12932219
5,0.99993235,-0.00676493,1.00117960,0.11796025,0.99230537,-0.76946323,1.00138965,0.13896524
6,0.99983804,-0.01619632,1.00099179,0.09917886,0.99509508,-0.49049184,1.00117677,0.11767718
7,1.00006567,0.00656658,1.00042460,0.04246030,0.99721347,-0.27865298,1.00231025,0.23102482
8,1.00023030,0.02303003,1.00014121,0.01412077,0.99871097,-0.12890284,1.00120757,0.12075674
9,0.99993382,-0.00661775,1.00016009,0.01600859,1.00006950,0.00694953,1.00013849,0.01384863
10,0.99946803,-0.05319710,1.00062134,0.06213422,1.00031608,0.03160793,1.00011676,0.01167602
11,0.99920053,-0.07994671,1.00057239,0.05723938,1.00067848,0.06784795,1.00006168,0.00616778
12,0.99921120,-0.07888036,1.00014661,0.01466081,1.00015901,0.01590081,1.00018158,0.01815770
13,0.99907479,-0.09252124,0.99985697,-0.01430270,0.99938030,-0.06197009,0.99992236,-0.00776357
14,0.99879968,-0.12003154,0.99950929,-0.04907084,0.99802221,-0.19777943,0.99993525,-0.00647528
15,0.99919264,-0.08073572,0.99921601,-0.07839886,0.99849514,-0.15048564,0.99967980,-0.03202014
16,0.99918209,-0.08179054,0.99912005,-0.08799460,0.99863529,-0.13647102,0.99961769,-0.03823091
17,0.99991907,-0.00809265,0.99925359,-0.07464057,0.99869534,-0.13046554,0.99866421,-0.13357889
18,0.99972940,-0.02706049,0.99966502,-0.03349790,0.99889301,-0.11069896,0.99793456,-0.20654359
19,0.99958930,-0.04107024,0.99872460,-0.12753953,0.99959289,-0.04071147,0.99768541,-0.23145925
20,0.99987726,-0.01227363,0.99895385,-0.10461509,1.00026139,0.02613885,0.99863851,-0.13614939
21,1.00012895,0.01289496,0.99874654,-0.12534555,1.00040858,0.04085827,0.99920114,-0.07988578
22,1.00002244,0.00224434,0.99870627,-0.12937269,1.00071172,0.07117163,0.99978547,-0.02145262
23,1.00034618,0.03461843,0.99839795,-0.16020461,1.00079281,0.07928053,0.99970912,-0.02908756
24,1.00064401,0.06440084,0.99825301,-0.17469935,1.00161232,0.16123233,0.99932233,-0.06776663
25,1.00000611,0.00061138,0.99784786,-0.21521378,1.00221001,0.22100075,0.99899198,-0.10080214
26,1.00038519,0.03851912,0.99864274,-0.13572560,1.00245384,0.24538446,0.99923523,-0.07647701
27,0.99973424,-0.02657642,0.99968410,-0.03158987,1.00179264,0.17926449,0.99958772,-0.04122811
28,0.99978115,-0.02188475,0.99971344,-0.02865596,1.00144868,0.14486829,0.99990676,-0.00932382
29,0.99986522,-0.01347794,0.99957108,-0.04289204,1.00101681,0.10168122,0.99961844,-0.03815646
30,1.00015165,0.01516539,0.99957186,-0.04281360,1.00149961,0.14996091,0.99949980,-0.05001975
31,0.99996728,-0.00327169,0.99945485,-0.05451453,1.00207171,0.20717129,0.99948658,-0.05134250
32,1.00028632,0.02863235,0.99963975,-0.03602506,1.00271415,0.27141546,0.99961582,-0.03841833
33,1.00089510,0.08951049,0.99962821,-0.03717940,1.00244373,0.24437291,0.99956413,-0.04358741
34,1.00122914,0.12291411,0.99963905,-0.03609494,1.00238947,0.23894676,0.99954073,-0.04592708
35,1.00114394,0.11439442,0.99950976,-0.04902438,1.00117579,0.11757915,0.99986247,-0.01375326
36,1.00105470,0.10547046,0.99948132,-0.05186799,1.00026038,0.02603753,0.99965780,-0.03421952
37,1.00228774,0.22877445,0.99955172,-0.04482788,0.99989064,-0.01093609,0.99996215,-0.00378470
38,0.99933016,-0.06698400,0.99972617,-0.02738325,0.99915546,-0.08445443,1.00039118,0.03911790
39,1.00066766,0.06676618,0.99975057,-0.02494281,0.99897840,-0.10216006,1.00064731,0.06473102
40,1.00109152,0.10915166,1.00001692,0.00169217,0.99999685,-0.00031501,1.00012487,0.01248675
41,1.00008833,0.00883270,0.99978175,-0.02182534,1.00055078,0.05507801,1.00004343,0.00434291
42,0.99927596,-0.07240386,1.00032779,0.03277949,0.99986904,-0.01309644,0.99991412,-0.00858779
43,0.99918265,-0.08173536,1.00124643,0.12464258,0.99952093,-0.04790664,1.00008656,0.00865595
44,0.99880458,-0.11954228,1.00129591,0.12959121,1.00006857,0.00685717,0.99998699,-0.00130089
45,0.99929794,-0.07020635,1.00119295,0.11929487,1.00231266,0.23126618,0.99988470,-0.01152991
46,0.99975611,-0.02438942,1.00192620,0.19261955,1.00450867,0.45086722,0.99984987,-0.01501253
47,0.99980113,-0.01988669,1.00173086,0.17308567,1.00527494,0.52749421,1.00050100,0.05010046
