phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,1.00055164,0.05516368,0.99985686,-0.01431352,1.00061622,0.06162180,0.99989646,-0.01035432
1,0.99967633,-0.03236683,0.99984564,-0.01543610,1.00037995,0.03799463,0.99991008,-0.00899216
2,0.99980546,-0.01945438,0.99993031,-0.00696880,1.00046539,0.04653900,0.99980742,-0.01925770
3,0.99980963,-0.01903656,1.00024636,0.02463605,1.00068702,0.06870219,0.99973329,-0.02667066
4,0.99964012,-0.03598817,1.00032826,0.03282580,1.00103540,0.10354006,0.99950230,-0.04977021
5,0.99943607,-0.05639324,1.00015371,0.01537050,1.00134421,0.13442132,0.99943062,-0.05693831
6,0.99941351,-0.05864918,1.00009638,0.00963772,1.00157370,0.15737022,0.99945926,-0.05407414
7,0.99941119,-0.05888094,0.99995045,-0.00495457,1.00157435,0.15743458,0.99946458,-0.05354242
8,0.99975034,-0.02496635,0.99995677,-0.00432268,1.00085014,0.08501431,0.99954183,-0.04581724
9,1.00003304,0.00330401,0.99994376,-0.00562405,1.00032090,0.03208963,0.99967045,-0.03295486
10,1.00005996,0.00599579,1.00006561,0.00656077,0.99996693,-0.00330658,0.99974639,-0.02536111
11,1.00017454,0.01745388,1.00003124,0.00312399,0.99946897,-0.05310291,0.99961588,-0.03841188
12,1.00048083,0.04808335,0.99999500,-0.00049954,0.99957176,-0.04282438,0.99955689,-0.04431062
13,1.00035650,0.03565012,0.99994807,-0.00519268,1.00005954,0.00595384,0.99967044,-0.03295610
14,1.00022748,0.02274764,0.99993389,-0.00661080,1.00009548,0.00954849,0.99978124,-0.02187615
15,1.00034492,0.03449192,0.99997012,-0.00298776,0.99975218,-0.02478177,0.99982935,-0.01706540
16,1.00020817,0.02081739,1.00008739,0.00873857,0.99989124,-0.01087581,0.99994919,-0.00508086
17,0.99998341,-0.00165948,1.00005122,0.00512210,1.00048673,0.04867287,1.00006017,0.00601670
18,0.99991635,-0.00836508,1.00017116,0.01711611,1.00146631,0.14663123,0.99999519,-0.00048097
19,0.99983149,-0.01685115,1.00026305,0.02630504,1.00223699,0.22369921,0.99991050,-0.00894960
20,0.99983358,-0.01664233,1.00015475,0.01547495,1.00218366,0.21836594,1.00005734,0.00573444
21,0.99985703,-0.01429744,1.00009770,0.00976980,1.00130720,0.13072011,1.00003424,0.00342420
22,0.99982249,-0.01775077,1.00007700,0.00769974,1.00022235,0.02223478,1.00000187,0.00018728
23,0.99988609,-0.01139128,1.00006974,0.00697430,0.99842161,-0.15783939,0.99983380,-0.01661962
24,1.00018011,0.01801109,1.00007130,0.00713027,0.99743179,-0.25682094,0.99987843,-0.01215668
25,1.00026744,0.02674443,0.99995874,-0.00412576,0.99805680,-0.19431971,1.00011630,0.01162954
26,1.00016346,0.01634564,1.00003404,0.00340423,0.99835381,-0.16461868,1.00042430,0.04243032
27,1.00027515,0.02751494,1.00024084,0.02408367,0.99851983,-0.14801724,1.00040711,0.04071140
28,1.00026945,0.02694484,1.00028068,0.02806833,0.99920708,-0.07929227,1.00038091,0.03809115
29,1.00006913,0.00691318,1.00013998,0.01399796,0.99966123,-0.03387670,1.00036342,0.03634218
30,0.99980780,-0.01922025,1.00004627,0.00462666,0.99999732,-0.00026794,1.00046727,0.04672679
31,1.00005655,0.00565501,0.99986120,-0.01387961,1.00007868,0.00786799,1.00045894,0.04589359
32,0.99998887,-0.00111350,0.99977056,-0.02294417,1.00019641,0.01964126,1.00040506,0.04050628
33,0.99962624,-0.03737643,0.99992561,-0.00743856,0.99982211,-0.01778938,1.00052909,0.05290884
34,0.99956569,-0.04343090,0.99999307,-0.00069327,0.99911857,-0.08814259,1.00077039,0.07703873
35,0.99965098,-0.03490224,1.00002605,0.00260472,0.99870061,-0.12993907,1.00048972,0.04897155
36,0.99970597,-0.02940312,0.99978322,-0.02167786,0.99880536,-0.11946352,1.00040742,0.04074155
37,0.99993699,-0.00630066,0.99974655,-0.02534466,0.99875210,-0.12479044,1.00040869,0.04086878
38,0.99992126,-0.00787432,0.99973772,-0.02622795,0.99889841,-0.11015878,1.00037762,0.03776219
39,0.99995987,-0.00401340,0.99976352,-0.02364787,0.99919266,-0.08073386,1.00016762,0.01676240
40,1.00012883,0.01288301,0.99988616,-0.01138396,0.99952030,-0.04797030,1.00026718,0.02671801
41,1.00032005,0.03200480,0.99977902,-0.02209836,0.99961310,-0.03869049,1.00022062,0.02206174
42,1.00019392,0.01939220,0.99997891,-0.00210879,0.99976446,-0.02355420,1.00046787,0.04678749
43,1.00017742,0.01774169,0.99979782,-0.02021790,0.99985817,-0.01418335,1.00011483,0.01148287
44,1.00032122,0.03212155,1.00003267,0.00326718,1.00012221,0.01222105,0.99961794,-0.03820638
45,1.00028766,0.02876645,0.99996089,-0.00391146,1.00056475,0.05647476,0.99947494,-0.05250618
46,1.00023385,0.02338523,1.00004414,0.00441367,1.00090600,0.09059963,0.99953036,-0.04696382
47,1.00038196,0.03819617,0.99991659,-0.00834143,1.00088001,0.08800137,0.99979519,-0.02048063
