wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,288875,45.28010051,46.48013987,0.64714013,0.51501237,1.93496341,raw_reference
1,288808,45.25972510,46.44303491,0.66442675,0.55893220,2.12554111,raw_reference
2,288750,45.20112812,46.40598915,0.67956500,0.69981856,1.92299098,raw_reference
3,288715,45.15584110,46.34847974,0.64569240,0.47117279,1.86239359,raw_reference
0,288875,45.28009938,46.48236704,0.64688071,0.51419322,1.93725331,phase_corrected
1,288808,45.25972280,46.44813351,0.66390922,0.55887476,2.11494123,phase_corrected
2,288750,45.20112438,46.40786361,0.67881142,0.69659884,1.93126722,phase_corrected
3,288715,45.15584007,46.34745669,0.64537584,0.47436882,1.86435472,phase_corrected
0,288875,45.10142393,46.31158461,1.57648819,2.58694408,3.21996696,reference_compensation_on
1,288808,45.07467579,46.28156532,1.60711480,2.62949704,3.38594362,reference_compensation_on
2,288750,45.02970221,46.24886135,1.55289764,2.33839062,3.11673771,reference_compensation_on
3,288715,44.98316622,46.19989196,1.53758889,2.21979991,2.83689511,reference_compensation_on
0,288875,45.45676575,46.69985512,1.49388476,2.52471921,3.17467406,reference_plus_or_diagnostic
1,288808,45.44276668,46.67487748,1.52634347,2.58238638,3.33812562,reference_plus_or_diagnostic
2,288750,45.37068615,46.60425239,1.46979997,2.28517613,2.98779499,reference_plus_or_diagnostic
3,288715,45.32655246,46.56694909,1.46474222,2.17352265,2.82823248,reference_plus_or_diagnostic
