phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99978518,-0.02148249,0.99946653,-0.05334689,1.00086658,0.08665822,0.99911346,-0.08865363
1,1.00024624,0.02462404,0.99895339,-0.10466102,1.00079033,0.07903301,0.99964816,-0.03518416
2,1.00019239,0.01923944,0.99961009,-0.03899134,1.00129946,0.12994597,0.99970828,-0.02917227
3,1.00016550,0.01655043,0.99905520,-0.09447987,1.00175682,0.17568175,0.99921866,-0.07813441
4,1.00001228,0.00122756,0.99871911,-0.12808874,1.00180432,0.18043240,0.99875717,-0.12428302
5,0.99958577,-0.04142307,0.99875068,-0.12493178,1.00103083,0.10308293,0.99861998,-0.13800167
6,0.99974743,-0.02525683,0.99849447,-0.15055253,1.00050628,0.05062795,0.99872778,-0.12722245
7,1.00005707,0.00570678,0.99856634,-0.14336578,0.99987307,-0.01269260,0.99915794,-0.08420572
8,1.00012239,0.01223931,0.99813713,-0.18628687,1.00021954,0.02195374,0.99928977,-0.07102275
9,1.00010945,0.01094494,0.99820510,-0.17948959,1.00090813,0.09081300,0.99943533,-0.05646652
10,1.00080955,0.08095464,0.99811713,-0.18828732,1.00172471,0.17247105,1.00024016,0.02401596
11,1.00135667,0.13566709,0.99957682,-0.04231751,1.00159247,0.15924657,1.00120986,0.12098634
12,1.00143363,0.14336323,0.99994627,-0.00537287,1.00167358,0.16735843,1.00197555,0.19755518
13,1.00112733,0.11273285,1.00020720,0.02072021,1.00062924,0.06292369,1.00223190,0.22318973
14,1.00224316,0.22431640,0.99988002,-0.01199785,0.99984894,-0.01510649,1.00220724,0.22072371
15,1.00071588,0.07158815,0.99958761,-0.04123863,0.99971246,-0.02875355,1.00204069,0.20406879
16,0.99977887,-0.02211254,0.99979184,-0.02081586,0.99918492,-0.08150763,1.00168286,0.16828637
17,1.00122495,0.12249506,0.99948237,-0.05176302,0.99917180,-0.08282010,1.00155364,0.15536379
18,1.00104154,0.10415447,0.99994429,-0.00557058,1.00047321,0.04732079,1.00266780,0.26678028
19,0.99988603,-0.01139741,0.99953969,-0.04603050,1.00122662,0.12266196,1.00267900,0.26789993
20,0.99951332,-0.04866813,0.99986803,-0.01319706,1.00048246,0.04824612,1.00078757,0.07875746
21,0.99935306,-0.06469366,0.99976512,-0.02348792,1.00013033,0.01303285,1.00062445,0.06244469
22,0.99972082,-0.02791797,1.00008828,0.00882815,1.00078377,0.07837735,1.00052560,0.05256035
23,1.00029746,0.02974616,1.00014722,0.01472157,1.00329503,0.32950251,1.00057753,0.05775285
24,1.00049928,0.04992752,1.00027782,0.02778198,1.00553074,0.55307401,1.00044441,0.04444147
25,1.00051028,0.05102843,1.00039035,0.03903471,1.00609167,0.60916702,1.00033331,0.03333053
26,1.00098747,0.09874700,1.00020547,0.02054693,1.00401431,0.40143099,1.00000037,0.00003731
27,1.00092593,0.09259327,1.00104203,0.10420318,1.00140000,0.13999961,0.99991509,-0.00849068
28,1.00056165,0.05616491,1.00222281,0.22228090,0.99766901,-0.23309870,0.99934088,-0.06591206
29,1.00005844,0.00584353,1.00105110,0.10510966,0.99419756,-0.58024408,0.99827717,-0.17228289
30,0.99995868,-0.00413185,1.00227524,0.22752354,0.99145323,-0.85467670,0.99755351,-0.24464894
31,0.99979585,-0.02041522,1.00203554,0.20355401,0.99252523,-0.74747683,0.99797033,-0.20296655
32,0.99972592,-0.02740799,1.00207991,0.20799106,0.99561402,-0.43859833,0.99892586,-0.10741389
33,1.00002356,0.00235587,1.00127792,0.12779246,0.99792208,-0.20779235,0.99962010,-0.03798991
34,1.00007652,0.00765208,1.00181621,0.18162140,0.99946413,-0.05358687,1.00000890,0.00088985
35,0.99955075,-0.04492516,1.00146231,0.14623133,1.00066288,0.06628751,0.99987189,-0.01281110
36,0.99910934,-0.08906647,1.00183997,0.18399689,1.00072335,0.07233550,0.99922688,-0.07731167
37,0.99899706,-0.10029436,1.00084915,0.08491479,1.00083346,0.08334615,0.99905287,-0.09471314
38,0.99883296,-0.11670393,1.00035303,0.03530252,1.00007467,0.00746702,0.99947430,-0.05256991
39,0.99855349,-0.14465107,0.99993482,-0.00651763,0.99913708,-0.08629177,0.99991365,-0.00863462
40,0.99859330,-0.14066998,0.99904992,-0.09500830,0.99771986,-0.22801356,0.99986859,-0.01314139
41,0.99864126,-0.13587395,0.99946275,-0.05372542,0.99814954,-0.18504591,0.99976177,-0.02382284
42,0.99915387,-0.08461292,0.99936563,-0.06343695,0.99849032,-0.15096760,0.99945353,-0.05464736
43,0.99940618,-0.05938161,1.00028736,0.02873634,0.99886118,-0.11388156,0.99976916,-0.02308422
44,0.99910860,-0.08914003,0.99991099,-0.00890057,0.99923166,-0.07683399,0.99960052,-0.03994835
45,0.99917583,-0.08241740,0.99990970,-0.00903004,0.99993553,-0.00644716,0.99958359,-0.04164092
46,0.99958501,-0.04149857,0.99977312,-0.02268834,1.00057098,0.05709804,0.99975154,-0.02484640
47,0.99964279,-0.03572054,0.99922689,-0.07731086,1.00074260,0.07425963,0.99960139,-0.03986115
