wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,181517,45.16218468,50.08118370,0.79489734,0.47038747,2.11456507,raw_reference
1,181628,45.09147717,50.00625006,0.84717441,0.48356725,2.16315971,raw_reference
2,181386,45.08941013,49.98556330,0.83012999,0.66829712,2.01309659,raw_reference
3,181480,45.02525267,49.94265315,0.78995545,0.40970345,1.95393595,raw_reference
0,181517,45.16218459,50.08227511,0.79428976,0.46711160,2.11673775,phase_corrected
1,181628,45.09147647,50.01121419,0.84563443,0.48708377,2.15979313,phase_corrected
2,181386,45.08940067,49.99335045,0.82606204,0.64875724,2.02673766,phase_corrected
3,181480,45.02525054,49.94094587,0.78874670,0.40745949,1.95334501,phase_corrected
0,181517,45.03747370,49.84756051,1.45583296,1.87332277,2.71745061,reference_compensation_on
1,181628,44.98849519,49.80330776,1.41956675,1.62132260,2.59520705,reference_compensation_on
2,181386,45.00079530,49.83807116,1.35848928,1.36671709,2.45279912,reference_compensation_on
3,181480,44.90856425,49.71503756,1.15163924,1.59200399,2.50003637,reference_compensation_on
0,181517,45.28574703,50.13393102,1.38167343,1.83280800,2.61268027,reference_plus_or_diagnostic
1,181628,45.19398451,50.03014073,1.34794912,1.58163083,2.40608382,reference_plus_or_diagnostic
2,181386,45.17748691,50.05166177,1.24097610,1.33385043,2.27731024,reference_plus_or_diagnostic
3,181480,45.14080115,49.96807249,1.10657964,1.56811151,2.42138283,reference_plus_or_diagnostic
