phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99914745,-0.08525491,1.00129597,0.12959652,1.00126140,0.12614026,1.00015883,0.01588250
1,0.99912024,-0.08797614,1.00120997,0.12099708,1.00095775,0.09577534,1.00039559,0.03955867
2,0.99948838,-0.05116243,1.00119404,0.11940395,1.00071371,0.07137145,0.99979337,-0.02066281
3,0.99931732,-0.06826818,1.00096386,0.09638611,1.00038222,0.03822201,0.99962214,-0.03778609
4,0.99914150,-0.08584954,1.00066283,0.06628309,1.00006511,0.00651120,1.00014497,0.01449718
5,0.99971474,-0.02852588,1.00130575,0.13057455,0.99937786,-0.06221403,1.00056616,0.05661573
6,0.99998909,-0.00109130,1.00013416,0.01341558,0.99984263,-0.01573716,1.00009589,0.00958929
7,0.99965698,-0.03430158,1.00026187,0.02618729,1.00022906,0.02290554,0.99972710,-0.02728997
8,0.99994964,-0.00503620,0.99986049,-0.01395090,0.99917327,-0.08267323,0.99979988,-0.02001164
9,1.00039131,0.03913116,1.00004815,0.00481495,0.99901790,-0.09821003,1.00040354,0.04035386
10,0.99976297,-0.02370339,0.99987738,-0.01226225,1.00040499,0.04049920,1.00079980,0.07997966
11,1.00008770,0.00876984,0.99950236,-0.04976396,1.00253009,0.25300912,1.00079672,0.07967210
12,1.00006306,0.00630596,0.99994409,-0.00559127,1.00305082,0.30508226,1.00062252,0.06225231
13,1.00009158,0.00915836,0.99905560,-0.09443987,1.00267290,0.26729028,1.00077850,0.07785016
14,1.00021498,0.02149840,0.99913339,-0.08666059,1.00114322,0.11432206,1.00091594,0.09159447
15,1.00042471,0.04247108,0.99898374,-0.10162581,1.00101578,0.10157791,1.00141824,0.14182402
16,1.00002009,0.00200853,0.99930411,-0.06958916,0.99945486,-0.05451412,1.00146767,0.14676655
17,1.00038655,0.03865462,0.99894519,-0.10548065,0.99741023,-0.25897680,1.00252209,0.25220885
18,1.00097335,0.09733476,0.99836462,-0.16353781,0.99497554,-0.50244575,1.00108859,0.10885883
19,1.00094787,0.09478698,0.99853955,-0.14604521,0.99641989,-0.35801149,1.00000175,0.00017475
20,1.00059559,0.05955940,0.99830707,-0.16929333,0.99745294,-0.25470641,1.00037977,0.03797731
21,1.00078900,0.07889973,0.99962892,-0.03710830,0.99738007,-0.26199273,1.00132068,0.13206810
22,1.00203292,0.20329225,0.99919603,-0.08039682,0.99648142,-0.35185797,1.00122862,0.12286166
23,0.99893594,-0.10640572,0.99892752,-0.10724843,0.99794691,-0.20530906,0.99959540,-0.04045963
24,1.00081285,0.08128495,0.99823271,-0.17672923,0.99907320,-0.09267969,0.99973428,-0.02657178
25,1.00220478,0.22047825,0.99898544,-0.10145645,0.99974236,-0.02576401,0.99969817,-0.03018255
26,0.99995445,-0.00455535,0.99950795,-0.04920535,0.99945488,-0.05451247,0.99978603,-0.02139665
27,0.99897121,-0.10287898,0.99935353,-0.06464685,0.99924620,-0.07538012,0.99884171,-0.11582897
28,1.00038752,0.03875165,0.99946184,-0.05381594,0.99834586,-0.16541434,0.99832903,-0.16709736
29,1.00008825,0.00882478,0.99896238,-0.10376238,0.99940671,-0.05932894,0.99833214,-0.16678583
30,0.99989628,-0.01037221,0.99961481,-0.03851939,0.99945550,-0.05444958,0.99937774,-0.06222633
31,1.00009989,0.00998884,0.99943707,-0.05629253,0.99916632,-0.08336775,0.99941750,-0.05824977
32,0.99977236,-0.02276421,0.99998151,-0.00184902,0.99863263,-0.13673669,0.99913510,-0.08648976
33,0.99991473,-0.00852667,0.99961247,-0.03875314,0.99967104,-0.03289616,0.99860475,-0.13952538
34,1.00055581,0.05558091,0.99987025,-0.01297453,1.00030820,0.03082035,0.99872986,-0.12701415
35,1.00018072,0.01807174,0.99981881,-0.01811886,1.00023025,0.02302511,0.99909539,-0.09046099
36,0.99975137,-0.02486343,0.99991484,-0.00851575,1.00030954,0.03095448,0.99975658,-0.02434170
37,1.00007002,0.00700168,1.00045922,0.04592218,1.00047170,0.04717038,1.00021835,0.02183517
38,1.00006703,0.00670313,1.00115970,0.11597041,1.00135637,0.13563708,1.00011859,0.01185925
39,0.99991662,-0.00833760,1.00007816,0.00781626,1.00169099,0.16909893,0.99919674,-0.08032602
40,0.99990185,-0.00981496,1.00079211,0.07921095,1.00190894,0.19089398,0.99904518,-0.09548227
41,1.00004366,0.00436569,1.00129771,0.12977058,1.00150661,0.15066104,0.99953232,-0.04676759
42,0.99971106,-0.02889447,1.00207140,0.20714032,1.00160999,0.16099879,1.00006004,0.00600368
43,0.99936462,-0.06353828,1.00045627,0.04562704,1.00139594,0.13959362,0.99989960,-0.01004036
44,0.99957002,-0.04299802,1.00183126,0.18312574,1.00208680,0.20867990,0.99976602,-0.02339811
45,0.99963379,-0.03662080,1.00155063,0.15506346,1.00224355,0.22435533,0.99981687,-0.01831281
46,0.99910670,-0.08933021,1.00208115,0.20811463,1.00210919,0.21091861,0.99986313,-0.01368666
47,0.99878148,-0.12185221,1.00082213,0.08221307,1.00121664,0.12166430,1.00000111,0.00011109
