wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,288775,31.68630303,31.70251729,0.31424935,0.51659600,0.95567413,raw_reference
1,288817,31.66195677,31.56491292,0.32095777,0.53147479,1.00011037,raw_reference
2,288714,31.57866918,31.61064813,0.36352368,0.68364904,1.00628055,raw_reference
3,288786,31.55126483,31.46249102,0.28640506,0.43154790,0.84204026,raw_reference
0,288775,31.68629600,31.70163147,0.30596945,0.49751034,0.93903905,phase_corrected
1,288817,31.66195283,31.56634453,0.30338874,0.49100092,0.97318353,phase_corrected
2,288714,31.57868920,31.61286262,0.27829146,0.41741959,0.80820060,phase_corrected
3,288786,31.55125476,31.46422774,0.27229047,0.39842213,0.81603370,phase_corrected
0,288775,31.72285034,31.72813135,0.89147818,0.94877023,1.35609527,reference_compensation_on
1,288817,31.70071749,31.60047330,0.55289706,1.06108403,1.47422509,reference_compensation_on
2,288714,31.61249166,31.63738825,0.88023863,0.95683944,1.31282944,reference_compensation_on
3,288786,31.57526496,31.48898097,0.87502628,0.83919509,1.19506754,reference_compensation_on
0,288775,31.64949359,31.65651606,0.86989709,0.94600131,1.35067637,reference_plus_or_diagnostic
1,288817,31.62289868,31.52943249,0.56103233,1.06658338,1.47215469,reference_plus_or_diagnostic
2,288714,31.54466330,31.56364444,0.84723816,0.93911707,1.37504302,reference_plus_or_diagnostic
3,288786,31.52674746,31.43604561,0.85201389,0.84118479,1.20548093,reference_plus_or_diagnostic
