wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,144123,75.10705078,87.75958790,5.09374361,0.43582110,14.29110988,raw_reference
1,104833,64.09007368,63.38968228,8.09537472,0.74375349,46.18407830,raw_reference
2,150331,75.92035780,88.38601884,5.68686971,0.63756088,27.82340259,raw_reference
3,110527,66.25139330,71.16047507,6.48018367,0.57600809,35.17230513,raw_reference
0,144123,75.10705593,87.75546195,5.09357000,0.44321949,14.33470674,phase_corrected
1,104833,64.09007114,63.39662230,8.09534612,0.74329960,46.17821456,phase_corrected
2,150331,75.92032153,88.38645452,5.68455602,0.64447532,27.84322655,phase_corrected
3,110527,66.25139458,71.15223238,6.47994160,0.57624817,35.17839753,phase_corrected
0,144123,74.89751099,87.39269649,5.26093712,1.69952388,15.34198244,reference_compensation_on
1,104833,63.92218446,63.19382731,8.18848497,2.22902021,46.44518556,reference_compensation_on
2,150331,75.74375540,88.11403571,5.72935235,1.65653503,27.70500945,reference_compensation_on
3,110527,66.00824074,70.84083445,6.66168277,2.48212959,36.03477518,reference_compensation_on
0,144123,75.31288294,87.84372134,5.23145774,1.67715801,15.28456413,reference_plus_or_diagnostic
1,104833,64.25372574,63.56205395,8.16654141,2.19410288,46.49369815,reference_plus_or_diagnostic
2,150331,76.09250413,88.53119394,5.71734041,1.63171288,27.61154955,reference_plus_or_diagnostic
3,110527,66.48752871,71.32720897,6.63369455,2.44645989,36.19890737,reference_plus_or_diagnostic
