phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99928984,-0.07101628,1.00067545,0.06754536,1.00171857,0.17185673,0.99977823,-0.02217732
1,0.99942782,-0.05721764,1.00104525,0.10452456,1.00139076,0.13907587,0.99981038,-0.01896175
2,0.99981172,-0.01882827,1.00118186,0.11818600,1.00108204,0.10820399,0.99981929,-0.01807063
3,0.99990846,-0.00915396,1.00114900,0.11489963,1.00038274,0.03827405,0.99971984,-0.02801624
4,0.99989723,-0.01027714,1.00144453,0.14445314,0.99996289,-0.00371064,0.99990677,-0.00932322
5,0.99992711,-0.00728943,1.00145834,0.14583371,1.00015588,0.01558767,1.00000337,0.00033658
6,0.99994995,-0.00500490,1.00147305,0.14730540,1.00034877,0.03487658,0.99999931,-0.00006908
7,0.99993585,-0.00641545,1.00100918,0.10091828,1.00000565,0.00056490,1.00000002,0.00000229
8,1.00005034,0.00503405,1.00123949,0.12394877,0.99984792,-0.01520786,1.00001301,0.00130119
9,1.00020483,0.02048294,1.00103898,0.10389771,1.00015913,0.01591264,0.99997650,-0.00235044
10,1.00020759,0.02075946,1.00094404,0.09440438,1.00126417,0.12641729,1.00002913,0.00291304
11,1.00015029,0.01502908,1.00053933,0.05393266,1.00239431,0.23943130,0.99997938,-0.00206161
12,1.00015669,0.01566854,1.00050139,0.05013893,1.00301955,0.30195503,0.99990866,-0.00913439
13,1.00014673,0.01467300,1.00022234,0.02223434,1.00266605,0.26660462,1.00007719,0.00771868
14,1.00004029,0.00402917,0.99998820,-0.00118035,1.00206987,0.20698684,1.00027972,0.02797221
15,0.99999825,-0.00017483,0.99984015,-0.01598547,1.00114361,0.11436062,1.00033843,0.03384272
16,1.00001496,0.00149600,0.99990971,-0.00902862,0.99942148,-0.05785183,1.00031610,0.03160978
17,0.99987306,-0.01269392,0.99973023,-0.02697699,0.99773565,-0.22643540,1.00044946,0.04494604
18,1.00003760,0.00376048,0.99947146,-0.05285375,0.99720175,-0.27982506,1.00056929,0.05692946
19,0.99995005,-0.00499470,0.99934763,-0.06523729,0.99736083,-0.26391749,1.00061430,0.06143040
20,0.99985509,-0.01449150,0.99925430,-0.07457039,0.99775705,-0.22429489,1.00059368,0.05936774
21,0.99996154,-0.00384622,0.99916021,-0.08397864,0.99784378,-0.21562248,1.00072876,0.07287645
22,1.00008749,0.00874897,0.99907735,-0.09226522,0.99806158,-0.19384231,1.00077410,0.07741025
23,1.00002386,0.00238551,0.99911904,-0.08809589,0.99848855,-0.15114458,1.00044315,0.04431462
24,1.00019110,0.01910955,0.99919683,-0.08031709,0.99918766,-0.08123352,1.00030320,0.03031979
25,1.00047624,0.04762444,0.99892509,-0.10749137,0.99952913,-0.04708692,1.00021401,0.02140132
26,1.00028663,0.02866269,0.99908043,-0.09195749,0.99954351,-0.04564917,1.00026475,0.02647486
27,1.00052396,0.05239553,0.99900924,-0.09907555,0.99896074,-0.10392596,1.00018180,0.01818007
28,1.00048915,0.04891456,0.99915144,-0.08485611,0.99903967,-0.09603315,1.00009379,0.00937907
29,1.00044863,0.04486275,0.99904723,-0.09527663,0.99906264,-0.09373594,1.00002935,0.00293546
30,1.00034140,0.03413984,0.99898310,-0.10168951,0.99900550,-0.09944960,1.00000096,0.00009573
31,1.00031545,0.03154516,0.99897512,-0.10248817,0.99900849,-0.09915140,0.99974528,-0.02547245
32,1.00008183,0.00818296,0.99901649,-0.09835084,0.99919905,-0.08009537,0.99945261,-0.05473889
33,1.00005002,0.00500186,0.99928696,-0.07130423,0.99939561,-0.06043860,0.99928326,-0.07167435
34,1.00022130,0.02212954,0.99934943,-0.06505687,0.99931552,-0.06844757,0.99928421,-0.07157882
35,1.00034828,0.03482819,0.99948431,-0.05156922,0.99940096,-0.05990379,0.99935183,-0.06481714
36,1.00030061,0.03006109,0.99961886,-0.03811355,0.99924230,-0.07577020,0.99945992,-0.05400766
37,1.00029566,0.02956593,0.99986984,-0.01301638,0.99968497,-0.03150257,0.99960481,-0.03951874
38,1.00080717,0.08071662,1.00004050,0.00405039,1.00025735,0.02573524,0.99973708,-0.02629158
39,0.99970071,-0.02992895,1.00007811,0.00781074,1.00063526,0.06352556,0.99968696,-0.03130379
40,1.00012784,0.01278434,1.00013376,0.01337554,1.00051463,0.05146283,0.99971511,-0.02848903
41,1.00023858,0.02385756,1.00014897,0.01489741,1.00054034,0.05403359,0.99979796,-0.02020399
42,0.99978771,-0.02122917,1.00016399,0.01639932,1.00051766,0.05176600,0.99995226,-0.00477351
43,0.99939780,-0.06021998,1.00017503,0.01750320,1.00071793,0.07179298,0.99995986,-0.00401429
44,0.99928686,-0.07131352,1.00025524,0.02552356,1.00087683,0.08768328,0.99992107,-0.00789330
45,0.99905556,-0.09444357,1.00029638,0.02963780,1.00126505,0.12650510,0.99983416,-0.01658373
46,0.99910721,-0.08927854,1.00052782,0.05278237,1.00159043,0.15904290,1.00002871,0.00287063
47,0.99921368,-0.07863183,1.00036532,0.03653240,1.00202621,0.20262073,0.99996898,-0.00310244
