wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,122329,39.29008442,43.80846516,0.48294630,0.53399266,1.83815275,raw_reference
1,122427,39.23711729,43.74989769,0.48903967,0.54124247,1.81556151,raw_reference
2,122298,39.29003584,43.81946402,0.51549586,0.71760687,1.73120385,raw_reference
3,122400,39.23913933,43.76269602,0.46644173,0.49093898,1.76120051,raw_reference
0,122329,39.29007780,43.80188255,0.48121957,0.53121159,1.83105582,phase_corrected
1,122427,39.23711859,43.75176248,0.48187551,0.53302984,1.82618329,phase_corrected
2,122298,39.29003810,43.81583353,0.50956834,0.68418107,1.71807716,phase_corrected
3,122400,39.23913220,43.76110109,0.46485592,0.48823383,1.75750945,phase_corrected
0,122329,39.48754133,43.95188245,2.68688111,3.92845841,7.78926070,reference_compensation_on
1,122427,39.16567475,43.68662607,1.34888614,1.18486172,2.09871933,reference_compensation_on
2,122298,39.16180511,43.68662607,1.62630735,1.87651279,2.58740038,reference_compensation_on
3,122400,39.35378652,43.76086716,2.96544430,4.55821265,5.25917807,reference_compensation_on
0,122329,39.07503064,43.55096836,2.69978442,4.04270720,7.92570516,reference_plus_or_diagnostic
1,122427,39.30807515,43.84882134,1.33876183,1.16654976,1.97655819,reference_plus_or_diagnostic
2,122298,39.41714947,43.96849112,1.58156818,1.85431384,2.45987589,reference_plus_or_diagnostic
3,122400,39.11187995,43.43055537,2.94736967,4.46741755,5.17758229,reference_plus_or_diagnostic
