wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,99168,41.38054051,42.28026289,0.33868241,0.29495447,0.58580138,raw_reference
1,99541,41.24589487,42.24274107,0.31488771,0.35593220,0.61460326,raw_reference
2,99106,41.38611672,42.27116057,0.42679249,0.63721996,0.87741151,raw_reference
3,99345,41.29675940,42.24387712,0.31625061,0.33670034,0.59056740,raw_reference
0,99168,41.38054152,42.28140428,0.33049585,0.26452772,0.57067091,phase_corrected
1,99541,41.24589527,42.24243393,0.29240679,0.28804255,0.57970155,phase_corrected
2,99106,41.38613856,42.26959822,0.35859560,0.26725568,0.61524430,phase_corrected
3,99345,41.29677488,42.24219920,0.30350478,0.28303501,0.56711607,phase_corrected
0,99168,41.24942577,42.13057415,1.54399709,2.09402739,2.43444652,reference_compensation_on
1,99541,41.09927575,42.08091317,1.68623875,2.06873163,2.31417108,reference_compensation_on
2,99106,41.27369770,42.14866177,1.46269783,1.74193415,2.23438564,reference_compensation_on
3,99345,41.17812333,42.10685771,0.95947937,1.87234043,2.35637732,reference_compensation_on
0,99168,41.51047817,42.41268838,1.48063984,2.06658151,2.40910871,reference_plus_or_diagnostic
1,99541,41.39121607,42.37264511,1.60778304,2.05831904,2.31310026,reference_plus_or_diagnostic
2,99106,41.49776132,42.38522199,1.40913337,1.74047147,2.03840442,reference_plus_or_diagnostic
3,99345,41.41431077,42.36236049,0.93959861,1.84922883,2.32499476,reference_plus_or_diagnostic
