phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99965544,-0.03445557,0.99984205,-0.01579491,1.00064792,0.06479222,0.99948764,-0.05123623
1,0.99948607,-0.05139252,1.00002495,0.00249549,1.00080917,0.08091689,0.99937570,-0.06242985
2,0.99937644,-0.06235576,0.99936168,-0.06383217,1.00155021,0.15502145,0.99975627,-0.02437315
3,0.99902846,-0.09715360,0.99985143,-0.01485730,1.00194801,0.19480094,1.00037477,0.03747733
4,0.99866261,-0.13373858,0.99933236,-0.06676381,1.00193795,0.19379527,1.00082752,0.08275236
5,0.99856807,-0.14319345,0.99902996,-0.09700432,1.00172355,0.17235530,1.00050984,0.05098380
6,0.99862711,-0.13728914,0.99907206,-0.09279437,1.00164090,0.16408993,1.00036939,0.03693929
7,0.99919568,-0.08043226,0.99889648,-0.11035185,1.00113688,0.11368787,1.00005654,0.00565376
8,0.99961351,-0.03864851,0.99888695,-0.11130511,1.00144599,0.14459855,0.99998368,-0.00163153
9,0.99962103,-0.03789654,0.99838647,-0.16135313,1.00228543,0.22854328,0.99989889,-0.01011141
10,0.99989845,-0.01015463,0.99832996,-0.16700388,1.00242209,0.24220947,0.99988275,-0.01172468
11,1.00032338,0.03233797,0.99809041,-0.19095947,1.00245614,0.24561355,0.99992384,-0.00761643
12,1.00038553,0.03855301,0.99927723,-0.07227706,1.00176173,0.17617272,1.00037474,0.03747379
13,1.00037350,0.03735031,0.99943190,-0.05681010,1.00013264,0.01326366,1.00097159,0.09715874
14,1.00069789,0.06978904,0.99975773,-0.02422710,0.99942058,-0.05794158,1.00136492,0.13649229
15,1.00056267,0.05626663,0.99954575,-0.04542508,0.99921406,-0.07859373,1.00144101,0.14410123
16,1.00037675,0.03767485,0.99947752,-0.05224829,0.99837417,-0.16258278,1.00122090,0.12208955
17,1.00006332,0.00633246,0.99953998,-0.04600233,0.99897404,-0.10259626,1.00096320,0.09631981
18,0.99952090,-0.04790981,0.99918649,-0.08135066,1.00003270,0.00326970,1.00110144,0.11014371
19,0.99939084,-0.06091632,0.99946044,-0.05395586,1.00015317,0.01531665,1.00089040,0.08904040
20,0.99948073,-0.05192679,0.99908309,-0.09169070,0.99953019,-0.04698098,1.00201199,0.20119892
21,0.99955294,-0.04470601,0.99935937,-0.06406345,0.99974248,-0.02575243,1.00118510,0.11851032
22,0.99959935,-0.04006450,0.99920431,-0.07956858,1.00126809,0.12680858,1.00039460,0.03946016
23,1.00027510,0.02750987,0.99966814,-0.03318601,1.00386837,0.38683712,1.00016378,0.01637816
24,1.00098175,0.09817482,0.99979776,-0.02022372,1.00538948,0.53894785,0.99990036,-0.00996420
25,1.00128242,0.12824222,0.99998743,-0.00125677,1.00499721,0.49972096,0.99989305,-0.01069507
26,1.00117167,0.11716678,1.00013717,0.01371676,1.00283540,0.28353950,0.99966614,-0.03338554
27,1.00216872,0.21687201,0.99991555,-0.00844499,1.00034051,0.03405127,0.99959461,-0.04053924
28,1.00073623,0.07362265,1.00053510,0.05350973,0.99669769,-0.33023102,0.99940095,-0.05990529
29,0.99983989,-0.01601138,1.00155289,0.15528907,0.99278026,-0.72197417,0.99938468,-0.06153214
30,1.00073778,0.07377801,1.00063089,0.06308943,0.99122612,-0.87738829,0.99880488,-0.11951215
31,1.00057517,0.05751656,1.00176171,0.17617109,0.99355836,-0.64416364,0.99812346,-0.18765377
32,0.99976490,-0.02350971,1.00158105,0.15810514,0.99627410,-0.37258952,0.99779282,-0.22071755
33,0.99944755,-0.05524525,1.00161497,0.16149675,0.99827542,-0.17245770,0.99869737,-0.13026301
34,0.99920306,-0.07969442,1.00100594,0.10059386,0.99991109,-0.00889136,0.99942642,-0.05735831
35,0.99945295,-0.05470540,1.00167813,0.16781324,1.00093410,0.09340956,1.00018149,0.01814899
36,0.99986939,-0.01306086,1.00158566,0.15856608,1.00142874,0.14287372,1.00035249,0.03524874
37,0.99997212,-0.00278828,1.00212253,0.21225278,1.00100066,0.10006573,1.00010193,0.01019264
38,1.00015546,0.01554581,1.00129411,0.12941093,1.00020877,0.02087664,0.99978474,-0.02152636
39,1.00065477,0.06547734,1.00089287,0.08928741,0.99893159,-0.10684141,0.99979183,-0.02081702
40,1.00066722,0.06672177,1.00048835,0.04883479,0.99823319,-0.17668113,0.99981158,-0.01884234
41,1.00037523,0.03752346,0.99976873,-0.02312708,0.99826429,-0.17357105,1.00001939,0.00193934
42,1.00011192,0.01119181,1.00003378,0.00337833,0.99845117,-0.15488311,0.99976064,-0.02393581
43,1.00010734,0.01073420,0.99997749,-0.00225065,0.99873088,-0.12691235,0.99958968,-0.04103205
44,1.00000878,0.00087783,1.00065169,0.06516868,0.99938548,-0.06145232,0.99938249,-0.06175078
45,0.99993211,-0.00678944,1.00036376,0.03637556,0.99944020,-0.05597953,0.99939067,-0.06093347
46,1.00024076,0.02407610,1.00034712,0.03471209,0.99995818,-0.00418243,0.99930013,-0.06998720
47,1.00020703,0.02070326,1.00017862,0.01786156,1.00027068,0.02706840,0.99931771,-0.06822876
