phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,1.00060361,0.06036075,1.00027905,0.02790515,1.00040099,0.04009906,0.99987689,-0.01231101
1,1.00023626,0.02362627,1.00032554,0.03255421,0.99939801,-0.06019943,1.00009275,0.00927532
2,0.99993647,-0.00635336,1.00054876,0.05487564,0.99933480,-0.06652039,1.00032130,0.03213013
3,1.00011480,0.01147989,1.00054329,0.05432901,0.99936177,-0.06382306,1.00063492,0.06349189
4,1.00006696,0.00669623,1.00045021,0.04502071,0.99942813,-0.05718681,1.00072597,0.07259683
5,0.99989249,-0.01075095,1.00021648,0.02164779,0.99939410,-0.06059044,1.00045671,0.04567124
6,0.99996929,-0.00307132,1.00006330,0.00633028,1.00034075,0.03407474,1.00029676,0.02967578
7,1.00017031,0.01703096,0.99992335,-0.00766525,1.00138708,0.13870801,1.00029770,0.02977005
8,1.00016222,0.01622236,1.00018087,0.01808660,1.00126099,0.12609858,1.00027069,0.02706947
9,1.00030483,0.03048329,1.00041827,0.04182715,1.00085593,0.08559295,1.00018053,0.01805320
10,1.00028774,0.02877429,1.00025148,0.02514797,1.00044042,0.04404186,1.00029693,0.02969312
11,1.00002215,0.00221495,1.00024792,0.02479204,0.99985522,-0.01447823,0.99988891,-0.01110887
12,0.99983538,-0.01646163,0.99982285,-0.01771487,0.99914269,-0.08573058,0.99973309,-0.02669053
13,0.99999147,-0.00085271,0.99992434,-0.00756577,0.99874534,-0.12546565,0.99980641,-0.01935917
14,0.99999183,-0.00081688,0.99976986,-0.02301438,0.99880445,-0.11955458,0.99981763,-0.01823743
15,0.99982754,-0.01724575,0.99991016,-0.00898405,0.99900122,-0.09987814,0.99980586,-0.01941414
16,0.99980623,-0.01937741,0.99974408,-0.02559156,0.99900838,-0.09916222,0.99974067,-0.02593327
17,0.99976141,-0.02385891,0.99961000,-0.03899980,0.99887828,-0.11217206,0.99977520,-0.02247973
18,0.99968186,-0.03181398,0.99961264,-0.03873637,0.99934837,-0.06516254,0.99998080,-0.00191984
19,0.99983940,-0.01605990,0.99962085,-0.03791542,1.00002077,0.00207666,1.00011506,0.01150565
20,0.99991431,-0.00856946,0.99990308,-0.00969245,1.00076641,0.07664107,0.99974654,-0.02534604
21,0.99991741,-0.00825934,0.99963777,-0.03622280,1.00076860,0.07686046,0.99946832,-0.05316817
22,0.99969849,-0.03015085,0.99974105,-0.02589507,1.00062691,0.06269104,0.99940182,-0.05981805
23,1.00004799,0.00479872,0.99949151,-0.05084897,1.00039298,0.03929826,0.99956121,-0.04387892
24,1.00011077,0.01107722,0.99963125,-0.03687497,1.00004574,0.00457427,0.99969512,-0.03048790
25,1.00010662,0.01066242,0.99972541,-0.02745931,0.99914256,-0.08574429,0.99977326,-0.02267354
26,0.99997273,-0.00272670,0.99978399,-0.02160074,0.99873200,-0.12679975,0.99982892,-0.01710810
27,0.99973352,-0.02664820,0.99968050,-0.03195049,0.99870133,-0.12986742,0.99974533,-0.02546676
28,0.99980033,-0.01996689,0.99944613,-0.05538717,0.99885000,-0.11499983,0.99983326,-0.01667355
29,0.99984896,-0.01510432,0.99950445,-0.04955490,0.99922488,-0.07751154,0.99998028,-0.00197188
30,0.99973758,-0.02624177,0.99937119,-0.06288142,0.99946928,-0.05307221,1.00017320,0.01731993
31,0.99987408,-0.01259236,0.99969775,-0.03022472,1.00010429,0.01042866,1.00004065,0.00406527
32,1.00008706,0.00870618,0.99974233,-0.02576679,1.00091636,0.09163573,0.99981956,-0.01804392
33,0.99996206,-0.00379449,0.99985090,-0.01490970,1.00123642,0.12364227,0.99960837,-0.03916306
34,0.99991598,-0.00840231,0.99983537,-0.01646327,1.00104458,0.10445808,0.99974482,-0.02551776
35,0.99990272,-0.00972755,0.99985790,-0.01421024,1.00085452,0.08545211,0.99990441,-0.00955909
36,1.00002816,0.00281639,1.00016405,0.01640546,1.00060244,0.06024396,0.99993548,-0.00645213
37,1.00002816,0.00281639,1.00001631,0.00163059,1.00010671,0.01067128,0.99982633,-0.01736672
38,1.00000023,0.00002278,1.00016342,0.01634154,1.00004960,0.00495956,0.99994883,-0.00511650
39,1.00024743,0.02474309,0.99999328,-0.00067237,1.00034225,0.03422462,0.99994057,-0.00594269
40,0.99999854,-0.00014569,1.00019120,0.01911957,1.00031378,0.03137826,1.00024616,0.02461592
41,1.00012576,0.01257562,1.00029971,0.02997120,0.99987146,-0.01285351,1.00047410,0.04741003
42,1.00013942,0.01394177,1.00043227,0.04322722,0.99980967,-0.01903276,1.00049663,0.04966284
43,0.99993591,-0.00640873,1.00050685,0.05068458,1.00036175,0.03617532,1.00035843,0.03584349
44,0.99996508,-0.00349174,1.00066399,0.06639878,1.00089254,0.08925351,1.00025596,0.02559633
45,1.00022132,0.02213225,1.00064450,0.06445027,1.00078775,0.07877528,1.00007710,0.00770956
46,0.99989404,-0.01059642,1.00030876,0.03087597,1.00071331,0.07133110,1.00007433,0.00743261
47,1.00028308,0.02830780,1.00025181,0.02518112,1.00086419,0.08641873,0.99992620,-0.00737987
