phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99953231,-0.04676855,0.99813031,-0.18696944,1.00091300,0.09129966,1.00027169,0.02716923
1,1.00002301,0.00230106,0.99790099,-0.20990090,1.00082001,0.08200110,1.00042271,0.04227120
2,0.99942083,-0.05791701,0.99745082,-0.25491759,1.00137817,0.13781686,0.99948674,-0.05132556
3,0.99975581,-0.02441880,0.99851489,-0.14851087,1.00180031,0.18003140,0.99927600,-0.07239980
4,1.00018578,0.01857806,1.00006100,0.00610046,1.00197009,0.19700921,0.99934208,-0.06579171
5,1.00085056,0.08505633,1.00010117,0.01011717,1.00137869,0.13786941,1.00000245,0.00024547
6,1.00083060,0.08305956,0.99950899,-0.04910111,1.00110005,0.11000508,1.00002972,0.00297242
7,1.00113382,0.11338180,0.99890472,-0.10952799,1.00034734,0.03473422,0.99996246,-0.00375438
8,1.00166074,0.16607446,0.99842800,-0.15720048,1.00078184,0.07818363,1.00002855,0.00285542
9,1.00167718,0.16771814,0.99863354,-0.13664649,1.00199568,0.19956833,1.00083291,0.08329132
10,1.00123847,0.12384729,0.99889863,-0.11013723,1.00302157,0.30215736,1.00141433,0.14143260
11,1.00099660,0.09965997,0.99939751,-0.06024948,1.00220958,0.22095823,1.00157901,0.15790142
12,1.00246749,0.24674923,0.99970719,-0.02928133,1.00174956,0.17495568,1.00149391,0.14939063
13,0.99858625,-0.14137487,0.99994801,-0.00519893,1.00023342,0.02334174,1.00132482,0.13248166
14,1.00074889,0.07488878,1.00019241,0.01924055,0.99921691,-0.07830873,1.00109837,0.10983700
15,1.00178287,0.17828698,1.00018030,0.01802991,0.99907792,-0.09220848,1.00136877,0.13687732
16,1.00058960,0.05895955,0.99977769,-0.02223087,0.99870519,-0.12948072,1.00119180,0.11917961
17,0.99945697,-0.05430324,0.99974553,-0.02544741,0.99900223,-0.09977663,1.00278561,0.27856096
18,0.99932618,-0.06738201,0.99933424,-0.06657649,1.00042929,0.04292878,1.00108250,0.10825038
19,0.99895776,-0.10422392,1.00018492,0.01849200,1.00089713,0.08971263,0.99942064,-0.05793640
20,0.99963984,-0.03601564,1.00163429,0.16342914,0.99963441,-0.03655887,0.99953474,-0.04652638
21,1.00025364,0.02536404,1.00176237,0.17623695,0.99912971,-0.08702907,0.99977951,-0.02204933
22,1.00027496,0.02749618,1.00156518,0.15651798,1.00009325,0.00932463,1.00018530,0.01852965
23,1.00035157,0.03515686,1.00234143,0.23414336,1.00326048,0.32604775,0.99978821,-0.02117933
24,1.00085263,0.08526278,1.00178500,0.17849975,1.00593825,0.59382512,0.99970561,-0.02943865
25,1.00021876,0.02187606,1.00136828,0.13682819,1.00616342,0.61634219,0.99946767,-0.05323280
26,0.99960053,-0.03994650,1.00093308,0.09330833,1.00301772,0.30177164,0.99942720,-0.05727952
27,0.99951705,-0.04829470,1.00157003,0.15700304,0.99957387,-0.04261338,0.99832886,-0.16711402
28,0.99959543,-0.04045723,1.00177181,0.17718123,0.99570277,-0.42972250,0.99739052,-0.26094844
29,0.99972730,-0.02726998,1.00186898,0.18689805,0.99292028,-0.70797193,0.99719701,-0.28029929
30,1.00029160,0.02916009,1.00096629,0.09662853,0.99101427,-0.89857343,0.99856493,-0.14350709
31,1.00065135,0.06513454,1.00090143,0.09014336,0.99355482,-0.64451787,0.99936982,-0.06301839
32,1.00011539,0.01153912,1.00048466,0.04846594,0.99791432,-0.20856836,1.00015934,0.01593357
33,0.99919123,-0.08087653,1.00056525,0.05652458,1.00010347,0.01034716,1.00002931,0.00293112
34,0.99874786,-0.12521428,1.00087367,0.08736662,1.00062994,0.06299354,0.99943787,-0.05621303
35,0.99880379,-0.11962055,1.00147248,0.14724841,1.00062847,0.06284665,0.99890934,-0.10906559
36,0.99870722,-0.12927850,1.00132928,0.13292761,0.99964032,-0.03596804,0.99922334,-0.07766593
37,0.99850944,-0.14905594,1.00056922,0.05692189,0.99941393,-0.05860672,0.99998918,-0.00108170
38,0.99919751,-0.08024930,0.99998142,-0.00185783,0.99874249,-0.12575139,1.00061100,0.06110001
39,0.99934963,-0.06503724,0.99932091,-0.06790920,0.99819149,-0.18085051,1.00021253,0.02125264
40,1.00022594,0.02259411,0.99893953,-0.10604714,0.99732609,-0.26739090,0.99987170,-0.01282961
41,0.99977963,-0.02203690,0.99895220,-0.10477951,0.99886173,-0.11382657,0.99977540,-0.02245970
42,0.99935578,-0.06442190,0.99924022,-0.07597760,0.99985608,-0.01439170,1.00005424,0.00542387
43,0.99948776,-0.05122393,0.99983343,-0.01665721,1.00009842,0.00984169,1.00009559,0.00955883
44,0.99949333,-0.05066687,0.99872781,-0.12721946,0.99997533,-0.00246748,1.00005368,0.00536809
45,0.99918013,-0.08198666,0.99901147,-0.09885265,1.00024418,0.02441827,1.00047286,0.04728617
46,0.99956706,-0.04329370,0.99873014,-0.12698631,1.00065602,0.06560226,0.99996791,-0.00320937
47,1.00009190,0.00918979,0.99849930,-0.15006950,1.00068649,0.06864905,0.99998225,-0.00177454
