sample_id,sample_type,source_event_id,source_file,sample_file,event_time_in_sample_s,time_scale,speed_scale,noise_gain,dropout_samples,is_augmented,target_wheels,scenario,scenario_zh,first_alarm_s,alarm_events,alarm_duration_s,pre_event_alarm_events,alarm_active_at_event,detection_time_s,delay_s,detected_1s,detected_2s,detected_5s,alarm_wheels,detection_wheels,status,median_first_alarm_s,median_alarm_events,median_alarm_duration_s,median_pre_event_alarm_events,median_alarm_active_at_event,median_detection_time_s,median_delay_s,median_detected_1s,median_detected_2s,median_detected_5s,median_alarm_wheels,median_detection_wheels,median_status,minimum_first_alarm_s,minimum_alarm_events,minimum_alarm_duration_s,minimum_pre_event_alarm_events,minimum_alarm_active_at_event,minimum_detection_time_s,minimum_delay_s,minimum_detected_1s,minimum_detected_2s,minimum_detected_5s,minimum_alarm_wheels,minimum_detection_wheels,minimum_status,harmonic_first_alarm_s,harmonic_alarm_events,harmonic_alarm_duration_s,harmonic_pre_event_alarm_events,harmonic_alarm_active_at_event,harmonic_detection_time_s,harmonic_delay_s,harmonic_detected_1s,harmonic_detected_2s,harmonic_detected_5s,harmonic_alarm_wheels,harmonic_detection_wheels,harmonic_status,error,display_html
R001,normal,R001,20260624_1_P182_0_120_4W300_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,964.1,3,4.61,0,False,,,False,False,False,"FR,RL,RR",,FALSE_ALARM,964.1,3,4.61,0,False,,,False,False,False,"FR,RL,RR",,FALSE_ALARM,71.4,6,7.55,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,45.19,1,2418.81,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,,html/R001.html
R002,normal,R002,20260624_2_P182_0_120_4W300_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,606.64,7,6.56,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,606.64,7,6.56,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,230.46,16,622.53,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,97.62,1,5127.38,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R002.html
R003,normal,R003,20260625_1_P182_0_120_4W300_robust_cityroad_Cloud,/home/zich/haar/robust_data_results/cases/CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,198.7,1,1.68,0,False,,,False,False,False,"FR,RL",,FALSE_ALARM,198.7,1,1.68,0,False,,,False,False,False,"FR,RL",,FALSE_ALARM,120.18,3,7.27,0,False,,,False,False,False,"FL,FR",,FALSE_ALARM,100.76,1,1112.24,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,,html/R003.html
R004,normal,R004,20260625_2_P182_0_120_4W300_robust_cityroad_Cloud,/home/zich/haar/robust_data_results/cases/CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,62.77,7,8.65,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,62.77,7,8.65,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,62.78,6,9.32,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,36.13,1,2739.87,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,,html/R004.html
R005,normal,R005,20260630_1_P182_0_120_4W300_robust_cityroad_Cloud,/home/zich/haar/robust_data_results/cases/CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,119.75,1,1338.25,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,119.75,1,1338.25,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,119.75,291,252.49,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,214.87,1,1243.13,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R005.html
R006,normal,R006,20260630_2_P182_0_120_4W300_robust_cityroad_Cloud,/home/zich/haar/robust_data_results/cases/CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,79.21,10,10.81,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,79.21,10,10.81,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,79.21,15,73.15,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,403.84,1,1408.16,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,,html/R006.html
R007,normal,R007,20260702_1_P182_0_120_4W300_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,177.63,4,3.14,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,177.63,4,3.14,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,177.19,2,374.81,0,False,,,False,False,False,"FL,FR",,FALSE_ALARM,200.69,1,1439.31,0,False,,,False,False,False,"FL,RL,RR",,FALSE_ALARM,,html/R007.html
R008,normal,R008,20260702_2_P182_0_120_4W300_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,1016.79,4,5.0,0,False,,,False,False,False,"FL,RR",,FALSE_ALARM,1016.79,4,5.0,0,False,,,False,False,False,"FL,RR",,FALSE_ALARM,130.71,5,4.88,0,False,,,False,False,False,"FL,FR",,FALSE_ALARM,51.85,1,1931.15,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R008.html
R009,normal,R009,20260703_1_P182_0_120_4W300_robust_cityroad_Sunny,/home/zich/haar/robust_data_results/cases/CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,148.77,2,3661.61,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,148.77,2,3661.61,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,148.75,18,111.55,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,205.41,1,3916.59,0,False,,,False,False,False,"FR,RL,RR",,FALSE_ALARM,,html/R009.html
R010,normal,R010,20260703_2_P182_0_120_4W300_robust_cityroad_Sunny,/home/zich/haar/robust_data_results/cases/CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,50.9,1,4107.1,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,50.9,1,4107.1,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,50.9,7,2878.79,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,247.73,1,3910.27,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,,html/R010.html
R011,normal,R011,20260704_1_P182_0_120_4W300_robust_cityroad_Sunny,/home/zich/haar/robust_data_results/cases/CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,333.02,9,10.25,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,333.02,9,10.25,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,302.19,25,186.26,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,224.21,1,4224.79,0,False,,,False,False,False,"FR,RL,RR",,FALSE_ALARM,,html/R011.html
R012,normal,R012,20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy,/home/zich/haar/robust_data_results/cases/CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,195.58,5,71.76,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,195.58,5,71.76,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,195.58,7,108.99,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,287.15,1,1412.85,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,,html/R012.html
R013,normal,R013,20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy,/home/zich/haar/robust_data_results/cases/CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,409.43,6,4.2,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,409.43,6,4.2,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,409.43,9,67.65,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,409.45,1,1972.55,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R013.html
R014,normal,R014,20260706_1_P182_0_120_4W260_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260706_1_P182_0_120_4W260_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,CityRoad,CityRoad,549.11,8,11.35,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,549.11,8,11.35,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,64.11,13,17.34,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,106.28,1,1792.72,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R014.html
R015,normal,R015,20260714_1_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_1_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,90.23,10,5.11,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,90.23,10,5.11,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,52.78,6,47.56,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,64.05,1,2301.95,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R015.html
R016,normal,R016,20260714_2_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,200.64,61,198.63,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,200.64,61,198.63,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,285.06,57,4.26,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,195.08,1,4123.92,0,False,,,False,False,False,"FL,RL,RR",,FALSE_ALARM,,html/R016.html
R017,normal,R017,20260714_3_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,41.19,6,4.74,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,41.19,6,4.74,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,36.43,12,34.68,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,102.94,1,1865.06,0,False,,,False,False,False,"FL,RL,RR",,FALSE_ALARM,,html/R017.html
R018,normal,R018,20260714_4_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,63.47,40,50.7,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,63.47,40,50.7,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,35.8,110,407.1,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,25.65,1,2260.35,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,,html/R018.html
R019,normal,R019,20260714_5_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,65.43,4,108.86,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,65.43,4,108.86,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,65.43,20,212.97,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,113.23,1,1643.77,0,False,,,False,False,False,"FR,RL,RR",,FALSE_ALARM,,html/R019.html
R020,normal,R020,20260714_6_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,119.21,10,19.14,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,119.21,10,19.14,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,132.46,15,96.46,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,35.36,1,1716.64,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R020.html
R021,normal,R021,20260714_7_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,285.2,8,5.53,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,285.2,8,5.53,0,False,,,False,False,False,"FL,FR,RR",,FALSE_ALARM,368.65,16,253.95,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,25.33,1,2144.67,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R021.html
R022,normal,R022,20260714_8_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,178.51,7,11.0,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,178.51,7,11.0,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,173.91,64,321.29,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,41.5,1,2849.5,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,,html/R022.html
R023,normal,R023,20260715_1_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,220.36,11,8.57,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,220.36,11,8.57,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,100.18,65,305.76,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,31.64,1,2882.36,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,,html/R023.html
R024,normal,R024,20260715_2_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_2_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,101.4,7,13.8,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,101.4,7,13.8,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,157.12,14,150.66,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,56.37,1,2180.63,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R024.html
R025,normal,R025,20260715_3_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,243.03,5,28.3,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,243.03,5,28.3,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,562.95,13,83.36,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,58.58,1,1671.42,0,False,,,False,False,False,"FL,RL,RR",,FALSE_ALARM,,html/R025.html
R026,normal,R026,20260715_4_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,742.93,2,4.4,0,False,,,False,False,False,"FL,RR",,FALSE_ALARM,742.93,2,4.4,0,False,,,False,False,False,"FL,RR",,FALSE_ALARM,322.88,10,66.47,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,74.1,1,2273.9,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R026.html
R027,normal,R027,20260715_5_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_5_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,33.34,47,275.47,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,33.34,47,275.47,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,33.34,43,750.65,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,96.51,1,1746.49,0,False,,,False,False,False,"FR,RL,RR",,FALSE_ALARM,,html/R027.html
R028,normal,R028,20260715_6_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_6_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,92.13,35,443.38,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,92.13,35,443.38,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,91.99,1,2367.01,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,147.79,1,2311.21,0,False,,,False,False,False,"FL,FR,RL",,FALSE_ALARM,,html/R028.html
R029,normal,R029,20260715_7_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_7_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,nan,1.0,1.0,0.0,0,0,nan,HillRoad,HillRoad,38.61,52,18.03,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,38.61,52,18.03,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,38.61,33,1.86,0,False,,,False,False,False,"FL,FR,RL,RR",,FALSE_ALARM,35.89,1,2933.11,0,False,,,False,False,False,"FL,RL,RR",,FALSE_ALARM,,html/R029.html
