sample_id,sample_type,source_event_id,source_file,sample_file,event_time_in_sample_s,time_scale,speed_scale,noise_gain,dropout_samples,is_augmented,target_wheels,scenario,scenario_zh
R001,normal,R001,20260624_1_P182_0_120_4W300_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R002,normal,R002,20260624_2_P182_0_120_4W300_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R003,normal,R003,20260625_1_P182_0_120_4W300_robust_cityroad_Cloud,/home/zich/haar/robust_data_results/cases/CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R004,normal,R004,20260625_2_P182_0_120_4W300_robust_cityroad_Cloud,/home/zich/haar/robust_data_results/cases/CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R005,normal,R005,20260630_1_P182_0_120_4W300_robust_cityroad_Cloud,/home/zich/haar/robust_data_results/cases/CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R006,normal,R006,20260630_2_P182_0_120_4W300_robust_cityroad_Cloud,/home/zich/haar/robust_data_results/cases/CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R007,normal,R007,20260702_1_P182_0_120_4W300_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R008,normal,R008,20260702_2_P182_0_120_4W300_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R009,normal,R009,20260703_1_P182_0_120_4W300_robust_cityroad_Sunny,/home/zich/haar/robust_data_results/cases/CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R010,normal,R010,20260703_2_P182_0_120_4W300_robust_cityroad_Sunny,/home/zich/haar/robust_data_results/cases/CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R011,normal,R011,20260704_1_P182_0_120_4W300_robust_cityroad_Sunny,/home/zich/haar/robust_data_results/cases/CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R012,normal,R012,20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy,/home/zich/haar/robust_data_results/cases/CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R013,normal,R013,20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy,/home/zich/haar/robust_data_results/cases/CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R014,normal,R014,20260706_1_P182_0_120_4W260_robust_cityroad_Rain,/home/zich/haar/robust_data_results/cases/CityRoad/20260706_1_P182_0_120_4W260_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,CityRoad,CityRoad
R015,normal,R015,20260714_1_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_1_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R016,normal,R016,20260714_2_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R017,normal,R017,20260714_3_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R018,normal,R018,20260714_4_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R019,normal,R019,20260714_5_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R020,normal,R020,20260714_6_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R021,normal,R021,20260714_7_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R022,normal,R022,20260714_8_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R023,normal,R023,20260715_1_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
