algorithm,case,csv_path,frames,valid_frames,duration_s,false_alarm,alarm_wheels,candidate_entries
quant_baseline,CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,246400,207432,2463.99,False,,97
quant_baseline,CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,522500,241746,5224.99,False,,135
quant_baseline,CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,121300,101466,1212.99,False,,15
quant_baseline,CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,277600,142962,2775.99,False,,52
quant_baseline,CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,145800,107846,1457.99,False,,18
quant_baseline,CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,181200,96814,1811.99,False,,59
quant_baseline,CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,164000,108117,1639.99,False,,17
quant_baseline,CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,198300,131104,1982.99,False,,14
quant_baseline,CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,412200,262365,4121.99,False,,122
quant_baseline,CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,415800,239527,4157.99,False,,110
quant_baseline,CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,444900,268946,4448.99,False,,94
quant_baseline,CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy,robust_data_results/cases/CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,170000,98294,1699.99,False,,41
quant_baseline,CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy,robust_data_results/cases/CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,238200,150439,2381.99,False,,31
quant_baseline,CityRoad/20260706_1_P182_0_120_4W260_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260706_1_P182_0_120_4W260_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,189900,106252,1898.99,False,,142
quant_baseline,HillRoad/20260714_1_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260714_1_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,236600,189075,2365.99,False,,44
quant_baseline,HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,431900,286475,4318.99,False,,154
quant_baseline,HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,196800,166399,1967.99,False,,130
quant_baseline,HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,228600,201395,2285.99,False,,138
quant_baseline,HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,175700,151574,1756.99,False,,37
quant_baseline,HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,175200,161690,1751.99,False,,44
quant_baseline,HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,217000,213556,2169.99,False,,44
quant_baseline,HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,289100,264977,2890.99,False,,69
quant_baseline,HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,291400,279508,2913.99,False,,131
